,route_index,route_name,name,stop_id,stop_poi_id,lon,lat,route,trans,su
0,0,1号线,莘庄,650 1215,BV10025001,121.385373,31.111152,310100025685|900000059516|310100034538,1,1
1,0,1号线,外环路,681 1189,BV10039895,121.393020,31.120899,310100025685,0,1
2,0,1号线,莲花路,702 1170,BV10026897,121.402910,31.130900,310100025685,0,1
3,0,1号线,锦江乐园,730 1143,BV10026582,121.414107,31.142217,310100025685,0,1
4,0,1号线,上海南站,746 1129,BV10025073,121.430041,31.154579,310100025685|310100034534|900000070795,1,1
5,0,1号线,漕宝路,779 1089,BV10026584,121.433143,31.168344,310100025685|310100025711,1,1
6,0,1号线,上海体育馆,809 1003,BV10026004,121.437423,31.182813,310100025685|310100034536,1,1
7,0,1号线,徐家汇,861 947,BV10029707,121.436837,31.195338,310100025685|310100024546|310100024518|310100027601,1,1
8,0,1号线,衡山路,894 916,BV10039894,121.446424,31.204528,310100025685,0,1
9,0,1号线,常熟路,959 877,BV10039862,121.449141,31.213524,310100025685|310100024542,1,1
10,0,1号线,陕西南路,1009 883,BV10039893,121.458744,31.215150,310100025685|310100027703|310100027704|310100025711,1,1
11,0,1号线,黄陂南路,1107 877,BV10039892,121.473306,31.222745,310100025685,0,1
12,0,1号线,人民广场,1139 821,BV10024678,121.475137,31.232781,310100025685|310100025693|900000113361|310100025709,1,1
13,0,1号线,新闸路,1091 779,BV10039891,121.468151,31.238373,310100025685,0,1
14,0,1号线,汉中路,1074 735,BV10030213,121.458699,31.241883,310100025685|310100025711|310100024524,1,1
15,0,1号线,上海火车站,1075 666,BV10024601,121.457939,31.249632,310100025685|310100034534|310100034536,1,1
16,0,1号线,中山北路,1111 627,BV10024692,121.459204,31.258891,310100025685,0,1
17,0,1号线,延长路,1141 583,BV10039890,121.455329,31.271675,310100025685,0,1
18,0,1号线,上海马戏城,1141 526,BV10039889,121.452023,31.279895,310100025685,0,1
19,0,1号线,汶水路,1141 484,BV10030431,121.450251,31.292556,310100025685,0,1
20,0,1号线,彭浦新村,1141 429,BV10025089,121.448642,31.306604,310100025685,0,1
21,0,1号线,共康路,1141 372,BV10030759,121.447063,31.318936,310100025685,0,1
22,0,1号线,通河新村,1141 330,BV10031109,121.441546,31.331130,310100025685,0,1
23,0,1号线,呼兰路,1141 275,BV10029799,121.437711,31.339703,310100025685,0,1
24,0,1号线,共富新村,1141 232,BV10039888,121.434063,31.355082,310100025685,0,1
