,route_index,route_name,name,stop_id,stop_poi_id,lon,lat,route,trans,su
0,0,1号线,国际机场,0 0,BV10848842,87.474505,43.900990,900000073875,0,1
1,0,1号线,大地窝堡,309 0,BV10848843,87.496534,43.896566,900000073875,0,1
2,0,1号线,宣仁墩,655 0,BV10848835,87.522450,43.914664,900000073875,0,1
3,0,1号线,三工,874 71,BV10848821,87.534972,43.910127,900000073875,0,1
4,0,1号线,迎宾路口,917 193,BV10848833,87.541841,43.900109,900000073875,0,1
5,0,1号线,植物园,960 316,BV10848841,87.548133,43.890863,900000073875,0,1
6,0,1号线,体育中心,1003 440,BV10848851,87.555159,43.880499,900000073875,0,1
7,0,1号线,铁路局,1047 564,BV10848849,87.562230,43.870168,900000073875,0,1
8,0,1号线,小西沟,1090 688,BV10848825,87.566252,43.860249,900000073875,0,1
9,0,1号线,中营工,1134 813,BV10848844,87.571633,43.847756,900000073875,0,1
10,0,1号线,新疆图书馆,1177 937,BV10848836,87.574626,43.840678,900000073875,0,1
11,0,1号线,八楼,1367 1034,BV10848820,87.584515,43.834696,900000073875,0,1
12,0,1号线,王家梁,1631 1034,BV11036526,87.603195,43.837001,900000073875,0,1
13,0,1号线,南湖北路,1820 1161,BV11036524,87.612477,43.832828,900000073875,0,1
14,0,1号线,南湖广场,1820 1270,BV11036527,87.613471,43.821928,900000073875,0,1
15,0,1号线,新兴街,1820 1393,BV11036529,87.614995,43.813621,900000073875,0,1
16,0,1号线,北门,1820 1513,BV11036522,87.621989,43.801472,900000073875,0,1
17,0,1号线,南门,1820 1637,BV10848852,87.619540,43.790847,900000073875,0,1
18,0,1号线,二道桥,1820 1759,BV11036528,87.616992,43.780632,900000073875,0,1
19,0,1号线,新疆大学,1820 1875,BV11036525,87.614063,43.769503,900000073875,0,1
20,0,1号线,三屯碑,1820 2000,BV11036523,87.610749,43.761448,900000073875,0,1
