,route_index,route_name,name,stop_id,stop_poi_id,lon,lat,route,trans,su
0,0,S1线,金安桥,270 684,BV11494889,116.162586,39.923298,900000069871|110100023339,1,1
1,0,S1线,四道桥,226 684,BV10813547,116.134010,39.916030,900000069871,0,1
2,0,S1线,桥户营,181 684,BV10813541,116.125809,39.912383,900000069871,0,1
3,0,S1线,上岸,155 711,BV10813543,116.122225,39.905138,900000069871,0,1
4,0,S1线,栗园庄,155 735,BV10813544,116.123254,39.895780,900000069871,0,1
5,0,S1线,小园,131 758,BV10813542,116.114443,39.890465,900000069871,0,1
6,0,S1线,石厂,104 758,BV10813546,116.100334,39.889378,900000069871,0,1
7,1,1号线,古城,334 720,BV10000295,116.190337,39.907450,110100023110,0,1
8,1,1号线,八角游乐园,391 720,BV10013455,116.212684,39.907442,110100023110,0,1
9,1,1号线,八宝山,454 720,BV10000302,116.235948,39.907440,110100023110,0,1
10,1,1号线,玉泉路,505 720,BV10013456,116.252888,39.907433,110100023110,0,1
11,1,1号线,五棵松,555 720,BV10013457,116.273987,39.907456,110100023110,0,1
12,1,1号线,万寿路,603 720,BV10013458,116.294765,39.907474,110100023110,0,1
13,1,1号线,公主坟,650 720,BV10000306,116.309919,39.907469,110100023110|110100023282,1,1
14,1,1号线,军事博物馆,710 720,BV10000188,116.321459,39.907422,110100023110|110100023116,1,1
15,1,1号线,木樨地,769 720,BV10013459,116.337583,39.907379,110100023110,0,1
16,1,1号线,南礼士路,819 720,BV10000309,116.352583,39.907234,110100023110,0,1
17,1,1号线,复兴门,858 720,BV10007375,116.356866,39.907242,110100023110|110100023098,1,1
18,1,1号线,西单,928 720,BV10006791,116.374072,39.907383,110100023110|110100023076,1,1
19,1,1号线,天安门西,972 720,BV10005941,116.391278,39.907472,110100023110,0,1
20,1,1号线,天安门东,1031 720,BV10006499,116.401216,39.907780,110100023110,0,1
21,1,1号线,王府井,1080 720,BV10006496,116.411571,39.908069,110100023110,0,1
22,1,1号线,东单,1116 720,BV10013440,116.418480,39.908325,110100023110|110100023100,1,1
23,1,1号线,建国门,1179 720,BV10013432,116.435806,39.908501,110100023110|110100023098,1,1
24,1,1号线,永安里,1247 720,BV10013460,116.450497,39.908454,110100023110,0,1
25,1,1号线,国贸,1279 720,BV10013461,116.461841,39.909104,110100023110|110100023282,1,1
26,1,1号线,大望路,1337 720,BV10013364,116.475783,39.908287,110100023110|900000028907,1,1
27,1,1号线,四惠,1374 724,BV10000275,116.495456,39.908749,110100023110|110100033086,1,1
28,1,1号线,四惠东,1409 724,BV10007589,116.515664,39.908495,110100023110|110100033086,1,1
29,2,2号线,积水潭,905 555,BV10013430,116.373126,39.948653,110100023098,0,0
30,2,2号线,鼓楼大街,1002 555,BV10013431,116.393776,39.948972,110100023098|110100023114,1,1
31,2,2号线,安定门,1077 555,BV10001936,116.408240,39.949180,110100023098,0,1
32,2,2号线,雍和宫,1116 555,BV10006563,116.417069,39.949336,110100023098|110100023100,1,1
33,2,2号线,东直门,1179 586,BV10002731,116.435842,39.941626,110100023098|110100033066|110100023096,1,1
34,2,2号线,东四十条,1179 628,BV10001047,116.434133,39.933801,110100023098,0,1
35,2,2号线,朝阳门,1179 659,BV10004298,116.434584,39.924499,110100023098|110100023339,1,1
36,2,2号线,建国门,1179 720,BV10013432,116.435806,39.908501,110100023110|110100023098,1,1
37,2,2号线,北京站,1171 759,BV10006813,116.427287,39.904983,110100023098,0,1
38,2,2号线,崇文门,1116 764,BV10013433,116.417093,39.901063,110100023098|110100023100,1,1
39,2,2号线,前门,1045 764,BV10005884,116.397937,39.900192,110100023098,0,1
40,2,2号线,和平门,999 764,BV10013434,116.384209,39.900098,110100023098,0,1
41,2,2号线,宣武门,928 764,BV10013415,116.374314,39.899765,110100023098|110100023076,1,1
42,2,2号线,长椿街,863 758,BV10013435,116.363355,39.899433,110100023098,0,1
43,2,2号线,复兴门,858 720,BV10007375,116.356866,39.907242,110100023110|110100023098,1,1
44,2,2号线,阜成门,858 667,BV10001036,116.356009,39.923686,110100023098,0,1
45,2,2号线,车公庄,858 625,BV10013437,116.354357,39.932397,110100023098|110100023339,1,1
46,2,2号线,西直门,858 585,BV10001595,116.355426,39.940474,110100023098|110100023076,1,1
47,3,4号线大兴线,天宫院,878 1353,BV10003869,116.319932,39.670342,110100023076,0,1
48,3,4号线大兴线,生物医药基地,878 1319,BV10013422,116.321662,39.686510,110100023076,0,1
49,3,4号线大兴线,义和庄,878 1283,BV10010394,116.319079,39.712387,110100023076,0,1
50,3,4号线大兴线,黄村火车站,878 1251,BV10000372,116.332611,39.722966,110100023076,0,1
51,3,4号线大兴线,黄村西大街,878 1216,BV10002783,116.332631,39.731769,110100023076,0,1
52,3,4号线大兴线,清源路,878 1183,BV10013275,116.332513,39.742724,110100023076,0,1
53,3,4号线大兴线,枣园,878 1145,BV10013421,116.332204,39.753458,110100023076,0,1
54,3,4号线大兴线,高米店南,878 1113,BV10013420,116.331605,39.763489,110100023076,0,1
55,3,4号线大兴线,高米店北,878 1066,BV10013419,116.330787,39.773547,110100023076,0,1
56,3,4号线大兴线,西红门,878 1028,BV10000383,116.328689,39.789800,110100023076,0,1
57,3,4号线大兴线,新宫,902 1002,BV10013418,116.365549,39.812592,110100023076,0,1
58,3,4号线大兴线,公益西桥,928 974,BV10008170,116.370796,39.836135,110100023076,0,1
59,3,4号线大兴线,角门西,928 935,BV10013417,116.371154,39.845850,110100023076|110100023282,1,1
60,3,4号线大兴线,马家堡,928 900,BV10009949,116.371361,39.853109,110100023076,0,1
61,3,4号线大兴线,北京南站,928 864,BV10006454,116.378963,39.865029,110100023076|900000028907,1,1
62,3,4号线大兴线,陶然亭,928 831,BV10013416,116.374383,39.878470,110100023076,0,1
63,3,4号线大兴线,菜市口,928 800,BV10013379,116.374425,39.889296,110100023076|110100023054,1,1
64,3,4号线大兴线,宣武门,928 764,BV10013415,116.374314,39.899765,110100023098|110100023076,1,1
65,3,4号线大兴线,西单,928 720,BV10006791,116.374072,39.907383,110100023110|110100023076,1,1
66,3,4号线大兴线,灵境胡同,928 690,BV10008400,116.373746,39.915912,110100023076,0,1
67,3,4号线大兴线,西四,928 660,BV10013414,116.373332,39.924206,110100023076,0,1
68,3,4号线大兴线,平安里,928 625,BV10013413,116.372883,39.933949,110100023076|110100023339,1,1
69,3,4号线大兴线,新街口,926 590,BV10013412,116.367742,39.940667,110100023076,0,1
70,3,4号线大兴线,西直门,858 585,BV10001595,116.355426,39.940474,110100023098|110100023076,1,1
71,3,4号线大兴线,动物园,812 585,BV10006771,116.339031,39.938250,110100023076,0,1
72,3,4号线大兴线,国家图书馆,710 582,BV10000252,116.325190,39.943114,110100023076|110100023116|900000062236,1,1
73,3,4号线大兴线,魏公村,699 544,BV10000255,116.323220,39.957904,110100023076,0,1
74,3,4号线大兴线,人民大学,699 498,BV10000258,116.321367,39.966956,110100023076,0,1
75,3,4号线大兴线,海淀黄庄,699 448,BV10013411,116.317564,39.975996,110100023076|110100023282,1,1
76,3,4号线大兴线,中关村,699 415,BV10013410,116.316467,39.983991,110100023076,0,1
77,3,4号线大兴线,北京大学东门,699 379,BV10013409,116.315842,39.992212,110100023076,0,1
78,3,4号线大兴线,圆明园,699 342,BV10013408,116.310186,39.999662,110100023076,0,1
79,3,4号线大兴线,西苑,636 331,BV10000920,116.290908,39.998258,110100023076|900000062236,1,1
80,3,4号线大兴线,北宫门,573 331,BV10013407,116.277647,40.002373,110100023076,0,1
81,3,4号线大兴线,安河桥北,507 331,BV10013406,116.269956,40.012195,110100023076,0,1
82,4,5号线,宋家庄,1116 935,BV10000743,116.428368,39.845849,110100023100|110100023282|110100023102,1,1
83,4,5号线,刘家窑,1116 895,BV10013438,116.422119,39.857521,110100023100,0,1
84,4,5号线,蒲黄榆,1116 864,BV10006603,116.423720,39.865621,110100023100|900000028907,1,1
85,4,5号线,天坛东门,1116 831,BV10013439,116.420833,39.882558,110100023100,0,1
