,route_index,route_name,name,stop_id,stop_poi_id,lon,lat,route,trans,su
0,0,S1号线(机场线),空港新城江宁,970 1565,BV10946753,118.887659,31.737687,320100022467|900000075073,1,1
1,0,S1号线(机场线),禄口机场,895 1565,BV10420611,118.873640,31.730279,320100022467,0,1
2,0,S1号线(机场线),翔宇路南,801 1510,BV10054284,118.829201,31.754866,320100022467|900000075091,1,1
3,0,S1号线(机场线),翔宇路北,801 1435,BV10053120,118.821542,31.791284,320100022467,0,1
4,0,S1号线(机场线),正方中路,801 1361,BV10057781,118.805809,31.845115,320100022467,0,1
5,0,S1号线(机场线),吉印大道,801 1287,BV10420612,118.795507,31.886166,320100022467,0,1
6,0,S1号线(机场线),河海大学·佛城西路,801 1214,BV10055104,118.791365,31.914086,320100022467,0,1
7,0,S1号线(机场线),翠屏山,801 1136,BV10055108,118.784514,31.942530,320100022467,0,1
8,0,S1号线(机场线),南京南站,856 1006,BV10053672,118.796786,31.970968,320100022330|320100022467|320100021573|320100021307,1,1
9,1,1号线,中国药科大学,1180 1412,BV10056133,118.914127,31.897684,320100022330,0,1
10,1,1号线,南京交院,1149 1379,BV10057771,118.904804,31.912860,320100022330,0,1
11,1,1号线,南医大·江苏经贸学院,1119 1347,BV10057772,118.890239,31.933475,320100022330,0,1
12,1,1号线,龙眠大道,1086 1312,BV10052599,118.877156,31.939902,320100022330,0,1
13,1,1号线,天印大道,1055 1279,BV10052719,118.863561,31.937638,320100022330,0,1
14,1,1号线,竹山路,1024 1246,BV10054309,118.844454,31.931965,320100022330,0,1
15,1,1号线,小龙湾,992 1213,BV10057773,118.832624,31.929684,320100022330,0,1
16,1,1号线,百家湖,961 1180,BV10052577,118.820843,31.931941,320100022330,0,1
17,1,1号线,胜太路,949 1131,BV10052586,118.821393,31.943549,320100022330,0,1
18,1,1号线,河定桥,949 1081,BV10052941,118.820141,31.952092,320100022330,0,1
19,1,1号线,双龙大道,949 1031,BV10057774,118.817196,31.963833,320100022330,0,1
21,1,1号线,花神庙,803 1006,BV10056973,118.785648,31.977795,320100022330,0,1
22,1,1号线,软件大道,762 983,BV10054620,118.774583,31.976727,320100022330,0,1
23,1,1号线,天隆寺,762 954,BV10057775,118.763146,31.979331,320100022330,0,1
24,1,1号线,安德门,762 921,BV10053938,118.762136,31.990862,320100022330|320100022437,1,1
25,1,1号线,中华门,762 847,BV10057718,118.774447,32.006748,320100022330,0,1
26,1,1号线,三山街,763 759,BV10904099,118.781583,32.023021,320100022330,0,1
27,1,1号线,张府园,763 722,BV10056864,118.783932,32.030963,320100022330,0,1
28,1,1号线,新街口,763 662,BV10057753,118.784136,32.041806,320100022330|320100021495,1,1
29,1,1号线,珠江路,762 576,BV10053754,118.784208,32.050974,320100022330,0,1
30,1,1号线,鼓楼,762 492,BV10054808,118.783724,32.058958,320100022330|320100021293,1,1
31,1,1号线,玄武门,765 448,BV10055207,118.784141,32.070016,320100022330,0,1
32,1,1号线,新模范马路,782 428,BV10057776,118.783738,32.079901,320100022330,0,1
33,1,1号线,南京站,807 403,BV10057660,118.796509,32.089322,320100022330|320100021573,1,1
34,1,1号线,红山动物园,898 312,BV10055589,118.802053,32.095774,320100022330,0,1
35,1,1号线,迈皋桥,943 268,BV10053853,118.809677,32.102712,320100022330,0,1
36,2,2号线,油坊桥,516 1020,BV10052278,118.721361,31.966454,320100021495|320100021307,1,1
37,2,2号线,雨润大街,516 965,BV10057750,118.722613,31.983679,320100021495,0,1
38,2,2号线,元通,515 921,BV10056679,118.721449,31.995471,320100021495|320100022437,1,1
39,2,2号线,奥体东,515 878,BV10057752,118.729234,32.004581,320100021495,0,1
40,2,2号线,兴隆大街,516 831,BV10056539,118.735943,32.015283,320100021495,0,1
41,2,2号线,集庆门大街,516 781,BV10056668,118.739580,32.028573,320100021495,0,1
42,2,2号线,云锦路,525 734,BV10056536,118.747323,32.034912,320100021495,0,1
43,2,2号线,莫愁湖,580 677,BV10057704,118.758964,32.037306,320100021495,0,1
44,2,2号线,汉中门,649 662,BV10055010,118.766962,32.042784,320100021495,0,1
45,2,2号线,上海路,708 662,BV10054819,118.776444,32.042270,320100021495,0,1
47,2,2号线,大行宫,858 662,BV10055287,118.794748,32.041717,320100021495|320100021573,1,1
48,2,2号线,西安门,904 622,BV10055284,118.805761,32.040108,320100021495,0,1
49,2,2号线,明故宫,964 576,BV10055597,118.819746,32.039218,320100021495,0,1
50,2,2号线,苜蓿园,1020 576,BV10057650,118.835310,32.040239,320100021495,0,1
51,2,2号线,下马坊,1071 576,BV10055279,118.848373,32.037578,320100021495,0,1
52,2,2号线,孝陵卫,1125 576,BV10054742,118.858058,32.035416,320100021495,0,1
53,2,2号线,钟灵街,1177 549,BV10054745,118.869395,32.039146,320100021495,0,1
54,2,2号线,马群,1243 484,BV10052240,118.894656,32.049556,320100021495,0,1
55,2,2号线,金马路,1295 432,BV10054728,118.906348,32.071699,320100021495|320100021293,1,1
56,2,2号线,仙鹤门,1332 395,BV10052324,118.904893,32.084898,320100021495,0,1
57,2,2号线,学则路,1370 357,BV10057754,118.916778,32.091280,320100021495,0,1
58,2,2号线,仙林中心,1404 323,BV10057714,118.930524,32.098725,320100021495,0,1
59,2,2号线,羊山公园,1436 291,BV10057755,118.940011,32.103824,320100021495,0,1
60,2,2号线,南大仙林校区,1464 263,BV10054435,118.959510,32.108763,320100021495,0,1
61,2,2号线,经天路,1492 236,BV10054947,118.976654,32.116151,320100021495,0,1
62,3,S3号线(宁和线),高家冲,0 1248,BV10713534,118.517253,31.909242,320100021307,0,1
63,3,S3号线(宁和线),林山,28 1214,BV10713532,118.531084,31.918826,320100021307,0,1
64,3,S3号线(宁和线),桥林新城,57 1180,BV10713538,118.547446,31.929882,320100021307,0,1
65,3,S3号线(宁和线),石碛河,85 1146,BV10713543,118.558049,31.938032,320100021307,0,1
66,3,S3号线(宁和线),双垅,113 1112,BV10713542,118.567483,31.948288,320100021307,0,1
67,3,S3号线(宁和线),兰花塘,141 1080,BV10713531,118.574859,31.958260,320100021307,0,1
68,3,S3号线(宁和线),马骡圩,169 1046,BV10713530,118.588380,31.973150,320100021307,0,1
69,3,S3号线(宁和线),刘村,261 1020,BV10713536,118.665113,31.944342,320100021307,0,1
70,3,S3号线(宁和线),天保,305 1020,BV10713537,118.677410,31.953164,320100021307,0,1
71,3,S3号线(宁和线),高庙路,346 1020,BV10713535,118.688338,31.968334,320100021307,0,1
72,3,S3号线(宁和线),吴侯街,388 1020,BV10713540,118.693035,31.975480,320100021307,0,1
73,3,S3号线(宁和线),平良大街,430 1020,BV10713541,118.702693,31.977846,320100021307,0,1
74,3,S3号线(宁和线),永初路,472 1020,BV10713533,118.712185,31.974264,320100021307,0,1
76,3,S3号线(宁和线),贾西,576 1020,BV10713529,118.734119,31.959242,320100021307,0,1
77,3,S3号线(宁和线),春江路,630 1020,BV10054641,118.748257,31.962385,320100021307,0,1
78,3,S3号线(宁和线),铁心桥,685 1020,BV10713539,118.763796,31.964416,320100021307,0,1
79,3,S3号线(宁和线),景明佳园,739 1020,BV10054833,118.778690,31.962302,320100021307,0,1
81,4,3号线,秣周东路,858 1412,BV10431632,118.831022,31.868977,320100021573,0,1
82,4,3号线,东大九龙湖校区,857 1310,BV10431633,118.830450,31.896037,320100021573,0,1
83,4,3号线,诚信大道,857 1263,BV10054962,118.829894,31.907714,320100021573,0,1
84,4,3号线,九龙湖,857 1215,BV10431634,118.821222,31.916035,320100021573,0,1
85,4,3号线,天元西路,857 1167,BV10057764,118.808591,31.927697,320100021573,0,1
86,4,3号线,胜太西路,857 1124,BV10054549,118.807434,31.943772,320100021573,0,1
87,4,3号线,宏运大道,857 1074,BV10053924,118.803736,31.959557,320100021573,0,1
89,4,3号线,明发广场,857 954,BV10442850,118.800512,31.977050,320100021573,0,1
90,4,3号线,大明路,857 918,BV10057767,118.799624,31.986114,320100021573,0,1
91,4,3号线,卡子门,857 883,BV10053930,118.795552,31.995041,320100021573,0,1
92,4,3号线,雨花门,857 848,BV10057717,118.792454,32.003779,320100021573,0,1
93,4,3号线,武定门,857 808,BV10431630,118.794632,32.013747,320100021573,0,1
94,4,3号线,夫子庙,857 757,BV10055550,118.790911,32.024119,320100021573,0,1
95,4,3号线,常府街,858 720,BV10055145,118.792317,32.033401,320100021573,0,1
97,4,3号线,浮桥,858 564,BV10055570,118.796107,32.048660,320100021573,0,1
98,4,3号线,鸡鸣寺,857 491,BV10431631,118.798082,32.057266,320100021573|320100021293,1,1
99,4,3号线,南京林业大学·新庄,838 432,BV10431636,118.810407,32.076407,320100021573,0,1
101,4,3号线,小市,750 345,BV10431637,118.785737,32.094998,320100021573,0,1
102,4,3号线,五塘广场,712 307,BV10431638,118.777686,32.110501,320100021573,0,1
103,4,3号线,上元门,673 268,BV10431629,118.769936,32.115477,320100021573,0,1
104,4,3号线,柳洲东路,614 209,BV10431628,118.746237,32.139965,320100021573,0,1
105,4,3号线,天润城,593 188,BV10431639,118.734078,32.150854,320100021573,0,1
106,4,3号线,泰冯路,570 165,BV10057770,118.719024,32.153685,320100021573|320100022469,1,1
107,4,3号线,东大成贤学院,509 104,BV10431640,118.707864,32.156194,320100021573,0,1
108,4,3号线,星火路,459 55,BV10431641,118.696577,32.157273,320100021573,0,1
109,4,3号线,林场,339 1,BV10054513,118.671334,32.163563,320100021573,0,1
110,5,4号线,龙江,524 493,BV10595525,118.738050,32.057926,320100021293,0,1
111,5,4号线,草场门·南艺·二师,613 493,BV11003609,118.755539,32.060351,320100021293,0,1
112,5,4号线,云南路,697 492,BV10054821,118.774682,32.059127,320100021293,0,1
115,5,4号线,九华山,905 491,BV10595526,118.806000,32.057314,320100021293,0,1
116,5,4号线,岗子村,971 476,BV10595528,118.816020,32.065352,320100021293,0,1
117,5,4号线,蒋王庙,993 461,BV10595530,118.831148,32.077536,320100021293,0,1
118,5,4号线,王家湾,1016 444,BV10595534,118.837921,32.085254,320100021293,0,1
119,5,4号线,聚宝山,1094 433,BV10595533,118.864212,32.093858,320100021293,0,1
120,5,4号线,徐庄·苏宁总部,1185 433,BV10595531,118.889679,32.084861,320100021293,0,1
122,5,4号线,汇通路,1373 432,BV10595524,118.931631,32.078018,320100021293,0,1
123,5,4号线,灵山,1443 432,BV10057693,118.943672,32.077698,320100021293,0,1
124,5,4号线,东流,1521 432,BV10053518,118.965470,32.077111,320100021293,0,1
125,5,4号线,孟北,1590 431,BV10595527,118.987240,32.084468,320100021293,0,1
126,5,4号线,西岗桦墅,1627 357,BV10057694,118.996482,32.098965,320100021293,0,1
127,5,4号线,仙林湖,1625 221,BV10595532,118.992322,32.125478,320100021293,0,1
129,6,S7号线(宁溧线),柘塘,1079 1572,BV10946752,118.937897,31.756740,900000075073,0,1
130,6,S7号线(宁溧线),空港新城溧水,1133 1597,BV10854329,118.989250,31.733816,900000075073,0,1
131,6,S7号线(宁溧线),群力,1175 1616,BV10946754,119.014478,31.720883,900000075073,0,1
132,6,S7号线(宁溧线),卧龙湖,1211 1650,BV10946751,119.043290,31.686304,900000075073,0,1
133,6,S7号线(宁溧线),溧水,1211 1688,BV10854325,119.044582,31.662243,900000075073,0,1
134,6,S7号线(宁溧线),中山湖,1211 1726,BV10854327,119.045275,31.646761,900000075073,0,1
135,6,S7号线(宁溧线),幸庄,1211 1765,BV10854324,119.046113,31.624602,900000075073,0,1
136,6,S7号线(宁溧线),无想山,1210 1802,BV10854326,119.046528,31.611448,900000075073,0,1
137,7,S8号线(宁天线),泰山新村,501 234,BV10054691,118.716045,32.144521,320100022469,0,1
139,7,S8号线(宁天线),高新开发区,616 118,BV10055454,118.719487,32.177538,320100022469,0,1
140,7,S8号线(宁天线),信息工程大学,658 75,BV10057619,118.726862,32.202394,320100022469,0,1
141,7,S8号线(宁天线),卸甲甸,723 35,BV10055038,118.730435,32.214608,320100022469,0,1
142,7,S8号线(宁天线),大厂,785 35,BV10057786,118.740131,32.228848,320100022469,0,1
143,7,S8号线(宁天线),葛塘,849 35,BV10055027,118.753637,32.244425,320100022469,0,1
144,7,S8号线(宁天线),长芦,929 35,BV10054341,118.776484,32.273302,320100022469,0,1
145,7,S8号线(宁天线),化工园,1014 36,BV10057785,118.785684,32.285557,320100022469,0,1
146,7,S8号线(宁天线),六合开发区,1084 36,BV10052793,118.805334,32.305196,320100022469,0,1
147,7,S8号线(宁天线),龙池,1169 36,BV10057784,118.820150,32.319014,320100022469,0,1
148,7,S8号线(宁天线),雄州,1250 36,BV10057783,118.836662,32.334610,320100022469,0,1
149,7,S8号线(宁天线),凤凰山公园,1329 36,BV10052757,118.845116,32.346842,320100022469,0,1
150,7,S8号线(宁天线),方州广场,1432 38,BV10052761,118.850115,32.359539,320100022469,0,1
151,7,S8号线(宁天线),沈桥,1516 38,BV10057109,118.891854,32.399891,320100022469,0,1
152,7,S8号线(宁天线),八百桥,1576 38,BV10057114,118.933243,32.427050,320100022469,0,1
153,7,S8号线(宁天线),金牛湖,1641 38,BV10057782,118.964703,32.465430,320100022469,0,1
155,8,S9号线(宁高线),铜山,876 1613,BV10854335,118.881885,31.696082,900000075091,0,1
156,8,S9号线(宁高线),石湫,971 1691,BV10892486,118.907380,31.640387,900000075091,0,1
157,8,S9号线(宁高线),明觉,971 1799,BV10854333,118.902178,31.546324,900000075091,0,1
158,8,S9号线(宁高线),团结圩,971 1899,BV10854337,118.887696,31.395788,900000075091,0,1
159,8,S9号线(宁高线),高淳,971 2000,BV10854334,118.877193,31.340956,900000075091,0,1
161,9,10号线,小行,660 921,BV10054647,118.744681,31.982464,320100022437,0,1
162,9,10号线,中胜,587 921,BV10057708,118.733170,31.987911,320100022437,0,1
164,9,10号线,奥体中心,433 880,BV10057331,118.718286,32.009065,320100022437,0,1
165,9,10号线,梦都大街,433 838,BV10057025,118.721781,32.015473,320100022437,0,1
166,9,10号线,绿博园,433 793,BV10053594,118.716735,32.024161,320100022437,0,1
167,9,10号线,江心洲,367 689,BV10057596,118.703335,32.031632,320100022437,0,1
168,9,10号线,临江,307 626,BV10057777,118.665528,32.057186,320100022437,0,1
169,9,10号线,浦口万汇城,276 592,BV10057778,118.657082,32.061689,320100022437,0,1
170,9,10号线,南京工业大学,247 561,BV10057779,118.648245,32.066794,320100022437,0,1
171,9,10号线,龙华路,215 527,BV10055913,118.635204,32.064712,320100022437,0,1
172,9,10号线,文德路,186 494,BV10057780,118.626645,32.057396,320100022437,0,1
173,9,10号线,雨山路,159 465,BV10057606,118.615125,32.044496,320100022437,0,1
