,route_index,route_name,name,stop_id,stop_poi_id,lon,lat,route,trans,su
0,0,1号线,火车东站,1630 299,BV10703060,108.414091,22.839677,900000058314,0,1
1,0,1号线,佛子岭,1732 341,BV10703058,108.424884,22.831844,900000058314,0,1
2,0,1号线,百花岭,1732 394,BV10703064,108.427946,22.818109,900000058314,0,1
3,0,1号线,埌东客运站,1669 452,BV10703059,108.418641,22.812921,900000058314,0,1
4,0,1号线,凤岭,1581 452,BV10703061,108.410346,22.813119,900000058314,0,1
5,0,1号线,东盟商务区,1503 452,BV10703062,108.399059,22.813064,900000058314,0,1
6,0,1号线,万象城,1414 452,BV10703065,108.392022,22.813041,900000058314,0,1
7,0,1号线,会展中心,1344 452,BV10703057,108.383728,22.812865,900000058314,0,1
8,0,1号线,金湖广场,1272 452,BV10703063,108.372356,22.812895,900000058314|900000067049,1,1
9,0,1号线,南湖,1209 452,BV10532019,108.363067,22.813671,900000058314,0,1
10,0,1号线,麻村,1120 452,BV10532012,108.347473,22.813014,900000058314,0,1
11,0,1号线,民族广场,996 452,BV10532002,108.336350,22.813048,900000058314,0,1
12,0,1号线,新民路,832 451,BV10532010,108.327324,22.813042,900000058314,0,1
13,0,1号线,朝阳广场,721 415,BV10532020,108.320842,22.817093,900000058314|900000060985,1,1
14,0,1号线,火车站,721 375,BV10532008,108.316335,22.824874,900000058314|900000060985,1,1
15,0,1号线,白苍岭,664 350,BV10532005,108.307154,22.831070,900000058314,0,1
16,0,1号线,广西大学,600 350,BV10532009,108.291111,22.831607,900000058314,0,1
17,0,1号线,鲁班路,519 350,BV10532018,108.283012,22.834074,900000058314,0,1
18,0,1号线,动物园,455 350,BV10532016,108.267771,22.837805,900000058314,0,1
19,0,1号线,清川,364 350,BV10532003,108.253119,22.840172,900000058314,0,1
20,0,1号线,民族大学,277 350,BV10532026,108.233018,22.837229,900000058314,0,1
21,0,1号线,西乡塘客运站,195 350,BV10532017,108.219156,22.832924,900000058314,0,1
22,0,1号线,鹏飞路,135 350,BV10532014,108.202283,22.833056,900000058314,0,1
23,0,1号线,南职院,79 350,BV10532022,108.192244,22.833130,900000058314,0,1
24,0,1号线,石埠,0 350,BV10532023,108.177596,22.826528,900000058314,0,1
25,1,2号线,西津,727 0,BV10730203,108.298459,22.889270,900000060985,0,1
26,1,2号线,安吉客运站,727 59,BV10730199,108.297843,22.879757,900000060985|900000067049,1,1
