,route_index,route_name,name,stop_id,stop_poi_id,lon,lat,route,trans,su
0,0,1号线,镇海路,705 1827,BV10677773,118.082731,24.450421,900000055907,0,1
1,0,1号线,中山公园,774 1769,BV10677771,118.089887,24.456007,900000055907,0,1
2,0,1号线,将军祠,842 1712,BV10677768,118.099835,24.460767,900000055907,0,1
3,0,1号线,文灶,913 1653,BV10677759,118.103380,24.467877,900000055907,0,1
4,0,1号线,湖滨东路,982 1595,BV10677762,118.110656,24.474027,900000055907,0,1
5,0,1号线,莲坂,1052 1536,BV10677764,118.118196,24.476107,900000055907,0,1
6,0,1号线,莲花路口,1118 1480,BV10677770,118.122857,24.483483,900000055907,0,1
7,0,1号线,吕厝,1171 1406,BV10677766,118.127959,24.490680,900000055907|900000086855,1,1
8,0,1号线,乌石浦,1171 1299,BV10677777,118.126518,24.498916,900000055907,0,1
9,0,1号线,塘边,1171 1191,BV10677778,118.122619,24.506304,900000055907,0,1
10,0,1号线,火炬园,1170 1083,BV10677757,118.118783,24.511850,900000055907,0,1
11,0,1号线,殿前,1170 973,BV10677767,118.116170,24.524893,900000055907,0,1
12,0,1号线,高崎,1148 866,BV10677779,118.116833,24.537530,900000055907,0,1
13,0,1号线,集美学村,983 744,BV10677765,118.092318,24.563899,900000055907,0,1
14,0,1号线,园博苑,692 732,BV10677774,118.067162,24.569925,900000055907,0,1
15,0,1号线,杏林村,582 684,BV10677776,118.061404,24.577444,900000055907,0,1
16,0,1号线,杏锦路,493 633,BV10677763,118.057362,24.581477,900000055907,0,1
17,0,1号线,官任,430 525,BV10677772,118.058588,24.593633,900000055907,0,1
18,0,1号线,诚毅广场,430 438,BV10677760,118.054048,24.603706,900000055907,0,1
19,0,1号线,集美软件园,430 350,BV10677775,118.047934,24.613351,900000055907,0,1
20,0,1号线,集美大道,430 263,BV10677769,118.055548,24.620221,900000055907,0,1
21,0,1号线,天水路,430 175,BV10677761,118.066175,24.625994,900000055907,0,1
22,0,1号线,厦门北站,430 88,BV10789636,118.074120,24.636134,900000055907,0,1
23,0,1号线,岩内,430 0,BV10677758,118.070286,24.643030,900000055907,0,1
24,1,2号线,天竺山,3 578,BV11290386,117.936836,24.578677,900000086855,0,1
25,1,2号线,东孚,2 664,BV11290385,117.947532,24.566354,900000086855,0,1
26,1,2号线,东瑶,2 752,BV11290381,117.961777,24.549628,900000086855,0,1
27,1,2号线,新阳大道,1 999,BV11290384,117.995312,24.537185,900000086855,0,1
28,1,2号线,新垵,1 1086,BV11290379,118.005933,24.530788,900000086855,0,1
29,1,2号线,翁角路,0 1185,BV11290383,118.014494,24.526134,900000086855,0,1
30,1,2号线,马青路,0 1289,BV11290382,118.030109,24.493865,900000086855,0,1
31,1,2号线,海沧行政中心,99 1406,BV10946719,118.033102,24.487526,900000086855,0,1
32,1,2号线,海沧商务中心,216 1406,BV10946724,118.039363,24.480889,900000086855,0,1
33,1,2号线,海沧湾公园,332 1406,BV10946712,118.050287,24.484648,900000086855,0,1
34,1,2号线,邮轮中心,465 1405,BV10946720,118.077155,24.484959,900000086855,0,1
35,1,2号线,建业路,597 1405,BV10946731,118.084018,24.478127,900000086855,0,1
36,1,2号线,湖滨中路,748 1406,BV10946717,118.094744,24.480508,900000086855,0,1
37,1,2号线,体育中心,885 1406,BV10873278,118.106182,24.483731,900000086855,0,1
38,1,2号线,育秀东路,1023 1406,BV10946721,118.114467,24.485878,900000086855,0,1
40,1,2号线,江头,1268 1406,BV10946726,118.137644,24.492429,900000086855,0,1
41,1,2号线,后埔,1385 1406,BV10946730,118.147357,24.489391,900000086855,0,1
42,1,2号线,蔡塘,1509 1406,BV10946728,118.153481,24.487156,900000086855,0,1
43,1,2号线,古地石,1664 1406,BV10946729,118.163646,24.485644,900000086855,0,1
44,1,2号线,岭兜,1810 1405,BV10946723,118.173860,24.484305,900000086855,0,1
45,1,2号线,软件园二期,1924 1405,BV10946727,118.185164,24.480522,900000086855,0,1
46,1,2号线,何厝,1993 1307,BV10946722,118.192670,24.485200,900000086855,0,1
47,1,2号线,观音山,1996 1189,BV10946715,118.192790,24.493542,900000086855,0,1
48,1,2号线,东宅,1997 1097,BV10946725,118.192874,24.499103,900000086855,0,1
49,1,2号线,两岸金融中心,2000 1011,BV10946716,118.193991,24.505456,900000086855,0,1
50,1,2号线,五通,1900 930,BV10946718,118.189562,24.511615,900000086855,0,1
51,1,2号线,湿地公园,1789 837,BV10946714,118.183577,24.516475,900000086855,0,1
52,1,2号线,钟宅,1667 745,BV10946732,118.173035,24.523927,900000086855,0,1
53,1,2号线,五缘湾,1532 644,BV10873277,118.166441,24.532908,900000086855,0,1
