,route_index,route_name,name,stop_id,stop_poi_id,lon,lat,route,trans,su
0,0,1号线,九联圩,1129 1367,BV10536534,117.286181,31.691457,900000039731,0,1
1,0,1号线,丙子铺,1211 1334,BV10536523,117.297393,31.691450,900000039731,0,1
2,0,1号线,万年埠,1211 1284,BV10536535,117.302102,31.698436,900000039731,0,1
3,0,1号线,万达城,1210 1231,BV10536545,117.302177,31.705865,900000039731,0,1
4,0,1号线,云谷路,1210 1177,BV10536543,117.302216,31.713223,900000039731|900000072420,1,1
5,0,1号线,金斗公园,1210 1124,BV10536553,117.302630,31.723036,900000039731,0,1
6,0,1号线,塘西河公园,1210 1070,BV10536531,117.302601,31.731507,900000039731,0,1
7,0,1号线,紫庐,1209 1012,BV10536524,117.302627,31.740745,900000039731,0,1
8,0,1号线,滨湖会展中心,1209 956,BV10536527,117.302666,31.754639,900000039731,0,1
9,0,1号线,高王,1209 898,BV10536530,117.291420,31.773139,900000039731,0,1
10,0,1号线,骆岗,1209 843,BV10536556,117.291451,31.783406,900000039731,0,1
11,0,1号线,南站南广场,1208 788,BV10536521,117.291500,31.792643,900000039731,0,1
12,0,1号线,合肥南站,1208 727,BV10536544,117.290136,31.799218,900000039731|900000072420,1,1
13,0,1号线,望湖城,1208 665,BV10536552,117.292040,31.805361,900000039731,0,1
14,0,1号线,葛大店,1208 603,BV10536525,117.303172,31.814564,900000039731,0,1
15,0,1号线,秋浦河路,1207 544,BV10536557,117.301989,31.823177,900000039731,0,1
16,0,1号线,朱岗,1207 486,BV10536559,117.301739,31.832155,900000039731,0,1
17,0,1号线,合工大南区,1207 425,BV10536529,117.300710,31.847196,900000039731,0,1
18,0,1号线,包公园,1206 367,BV10536539,117.301360,31.856274,900000039731,0,1
19,0,1号线,大东门,1206 303,BV10536536,117.300761,31.863957,900000039731|900000039729,1,1
20,0,1号线,明光路,1240 235,BV10536549,117.304588,31.869977,900000039731,0,1
21,0,1号线,长淮,1268 178,BV10536548,117.309132,31.875623,900000039731,0,1
22,0,1号线,合肥火车站,1301 115,BV10536541,117.315587,31.883376,900000039731|900000055586,1,1
23,1,2号线,南岗,0 303,BV10536546,117.115653,31.850724,900000039729,0,1
24,1,2号线,桂庄,92 303,BV10536542,117.126784,31.850724,900000039729,0,1
25,1,2号线,汽车西站,172 303,BV10536562,117.136078,31.850853,900000039729,0,1
26,1,2号线,振兴路,258 303,BV10536540,117.151850,31.851072,900000039729,0,1
27,1,2号线,蜀山西,339 303,BV10536520,117.168011,31.851358,900000039729,0,1
28,1,2号线,大蜀山,422 303,BV10536561,117.186676,31.852178,900000039729,0,1
29,1,2号线,天柱路,496 303,BV10536518,117.198511,31.854188,900000039729,0,1
30,1,2号线,科学大道,571 303,BV10536532,117.208841,31.855940,900000039729,0,1
31,1,2号线,十里庙,651 303,BV10536554,117.223213,31.854899,900000039729,0,1
32,1,2号线,西七里塘,728 303,BV10679334,117.230892,31.852496,900000039729|900000055586,1,1
33,1,2号线,五里墩,814 303,BV10536560,117.241141,31.851095,900000039729,0,1
34,1,2号线,三里庵,891 303,BV10536550,117.255594,31.854586,900000039729,0,1
35,1,2号线,安农大,971 303,BV10536519,117.265503,31.858171,900000039729,0,1
36,1,2号线,三孝口,1047 303,BV10536522,117.275340,31.861092,900000039729,0,1
37,1,2号线,四牌楼,1124 303,BV10536526,117.289704,31.861668,900000039729,0,1
39,1,2号线,三里街,1304 303,BV10536547,117.313994,31.867598,900000039729,0,1
40,1,2号线,东五里井,1402 303,BV10536533,117.324534,31.867763,900000039729,0,1
41,1,2号线,东七里,1505 303,BV10536538,117.338466,31.867807,900000039729,0,1
42,1,2号线,漕冲,1606 303,BV10536558,117.351760,31.868068,900000039729,0,1
43,1,2号线,东二十埠,1703 303,BV10536551,117.367157,31.868250,900000039729,0,1
44,1,2号线,龙岗,1802 303,BV10536555,117.376461,31.868407,900000039729,0,1
45,1,2号线,王岗,1902 303,BV10536537,117.389813,31.868729,900000039729,0,1
46,1,2号线,三十埠,2000 303,BV10536563,117.397380,31.868958,900000039729,0,1
47,2,3号线,幸福坝,428 929,BV10679347,117.180698,31.751017,900000055586,0,1
48,2,3号线,安大磬苑校区,488 866,BV10679329,117.192297,31.759387,900000055586,0,1
49,2,3号线,工大翡翠湖校区,542 811,BV10679330,117.205060,31.765338,900000055586,0,1
50,2,3号线,大学城北,591 759,BV10679332,117.209853,31.775010,900000055586,0,1
51,2,3号线,繁华大道,638 709,BV10679325,117.209870,31.781298,900000055586,0,1
52,2,3号线,安医大二附院,682 663,BV10679321,117.209871,31.790100,900000055586,0,1
53,2,3号线,省博物院,730 615,BV10679343,117.215537,31.800891,900000055586,0,1
54,2,3号线,图书馆,729 565,BV11136905,117.215513,31.809104,900000055586,0,1
55,2,3号线,合肥大剧院,728 507,BV10679326,117.223725,31.814370,900000055586,0,1
56,2,3号线,市政务中心,728 444,BV10679341,117.231886,31.821749,900000055586,0,1
57,2,3号线,洪岗,728 405,BV10679328,117.231564,31.832304,900000055586,0,1
58,2,3号线,国防科技大学,728 347,BV10679323,117.231245,31.840772,900000055586,0,1
60,2,3号线,南新庄,729 241,BV10679346,117.230716,31.861056,900000055586,0,1
61,2,3号线,合肥西站,729 177,BV10679340,117.236373,31.870558,900000055586,0,1
62,2,3号线,杏花村,815 115,BV10679344,117.245606,31.880507,900000055586,0,1
63,2,3号线,四泉桥,869 116,BV10679350,117.256556,31.886585,900000055586,0,1
64,2,3号线,郑河,926 116,BV10679335,117.267967,31.886763,900000055586,0,1
65,2,3号线,海棠,996 116,BV11136906,117.278495,31.886933,900000055586,0,1
66,2,3号线,一里井,1073 117,BV10679336,117.287184,31.887032,900000055586,0,1
67,2,3号线,淮南路,1144 116,BV10679351,117.296314,31.887268,900000055586,0,1
