,route_index,route_name,name,stop_id,stop_poi_id,lon,lat,route,trans,su
0,0,1号线,姚家,974 279,BV10102097,121.619355,39.023335,210200021331,0,1
1,0,1号线,大连北站,974 322,BV10101792,121.607795,39.014769,210200021331,0,1
2,0,1号线,华北路,974 364,BV10102144,121.594002,39.008465,210200021331,0,1
3,0,1号线,华南北,974 405,BV10104022,121.586203,39.000251,210200021331,0,1
4,0,1号线,华南广场,974 445,BV10524856,121.586503,38.989534,210200021331,0,1
5,0,1号线,千山路,974 487,BV10101781,121.581709,38.979133,210200021331,0,1
6,0,1号线,松江路,974 529,BV10102112,121.577949,38.968898,210200021331,0,1
7,0,1号线,东纬路,974 568,BV10101918,121.580125,38.956306,210200021331,0,1
8,0,1号线,春柳,974 613,BV10101912,121.582390,38.935994,210200021331,0,1
9,0,1号线,香工街,974 658,BV10101915,121.588785,38.931104,210200021331,0,1
10,0,1号线,中长街,974 696,BV10102105,121.592008,38.923872,210200021331,0,1
11,0,1号线,兴工街,974 735,BV10101762,121.588627,38.916854,210200021331,0,1
12,0,1号线,西安路,974 777,BV10101759,121.587,38.9094,210200021331|210200021333,1,1
13,0,1号线,富国街,974 835,BV10102321,121.584703,38.898792,210200021331,0,1
14,0,1号线,会展中心,974 883,BV10582134,121.585760,38.891444,210200021331,0,1
15,0,1号线,星海广场,939 947,BV10887533,121.582468,38.884617,210200021331,0,1
16,0,1号线,大医二院,868 948,BV10887535,121.570510,38.881360,210200021331,0,1
17,0,1号线,黑石礁,798 948,BV10887532,121.557527,38.874543,210200021331,0,1
18,0,1号线,学苑广场,728 948,BV10887534,121.545596,38.874769,210200021331,0,1
19,0,1号线,海事大学,653 949,BV10887536,121.534513,38.866029,210200021331,0,1
20,0,1号线,七贤岭,581 949,BV10582132,121.527401,38.856992,210200021331,0,1
21,0,1号线,河口,500 949,BV10101949,121.513572,38.843476,210200021331|210200021329,1,1
22,1,2号线,辛寨子,597 546,BV10496604,121.515132,38.971093,210200021333,0,1
23,1,2号线,机场,668 572,BV10102115,121.540484,38.961743,210200021333,0,1
24,1,2号线,虹港路,687 624,BV10104027,121.543076,38.955789,210200021333,0,1
25,1,2号线,虹锦路,687 676,BV10104028,121.540146,38.947149,210200021333,0,1
26,1,2号线,红旗西路,687 733,BV10104029,121.533457,38.927759,210200021333,0,1
27,1,2号线,湾家,735 777,BV10104030,121.541876,38.924548,210200021333,0,1
28,1,2号线,马栏广场,795 777,BV10102045,121.554623,38.920078,210200021333,0,1
29,1,2号线,辽师大,854 777,BV10104031,121.564077,38.916019,210200021333,0,1
30,1,2号线,交通大学,910 777,BV10455187,121.571770,38.912891,210200021333,0,1
31,1,2号线,西安路,974 777,BV10101759,121.587,38.9094,210200021331|210200021333,1,1
32,1,2号线,联合路,1045 777,BV10101997,121.596452,38.914197,210200021333,0,1
33,1,2号线,人民广场,1106 777,BV10101802,121.610339,38.910677,210200021333,0,1
34,1,2号线,一二九街,1164 777,BV10101800,121.622608,38.913014,210200021333,0,1
35,1,2号线,青泥洼桥,1228 777,BV10101767,121.631536,38.916973,210200021333,0,1
36,1,2号线,友好广场,1295 777,BV10101798,121.637633,38.919626,210200021333,0,1
37,1,2号线,中山广场,1356 777,BV10101796,121.643895,38.921551,210200021333,0,1
38,1,2号线,港湾广场,1419 777,BV10102840,121.660174,38.926683,210200021333,0,1
