,route_index,route_name,name,stop_id,stop_poi_id,lon,lat,route,trans,su
0,0,1号线,刘园,102 3,BV10040578,117.115904,39.207953,120100021504,0,1
1,0,1号线,瑞景新苑,102 115,BV10040824,117.121860,39.200203,120100021504,0,1
2,0,1号线,佳园里,102 215,BV10045128,117.128158,39.191974,120100021504,0,1
3,0,1号线,本溪路,147 347,BV10040573,117.139463,39.185432,120100021504,0,1
4,0,1号线,勤俭道,247 423,BV10040246,117.153675,39.178342,120100021504,0,1
5,0,1号线,洪湖里,342 495,BV10040793,117.161912,39.170889,120100021504,0,1
6,0,1号线,西站,435 566,BV10043783,117.166791,39.156971,120100021504|120100021325,1,1
7,0,1号线,西北角,546 711,BV10040302,117.171661,39.146568,120100021504,0,1
8,0,1号线,西南角,546 820,BV10041177,117.171996,39.137364,120100021504|120100021904,1,1
9,0,1号线,二纬路,547 968,BV10045180,117.174737,39.130318,120100021504,0,1
10,0,1号线,海光寺,601 1122,BV10040424,117.177534,39.122349,120100021504,0,1
11,0,1号线,鞍山道,736 1122,BV10040808,117.187336,39.120355,120100021504,0,1
12,0,1号线,营口道,875 1122,BV10045173,117.197685,39.118628,120100021504|120100021500,1,1
13,0,1号线,小白楼,984 1177,BV10041057,117.215406,39.114911,120100021504,0,1
14,0,1号线,下瓦房,1055 1248,BV10040802,117.222893,39.105200,120100021504|120100021323,1,1
15,0,1号线,南楼,1120 1248,BV10041198,117.223877,39.095998,120100021504,0,1
16,0,1号线,土城,1204 1246,BV10040435,117.232283,39.089216,120100021504,0,1
17,0,1号线,陈塘庄,1263 1274,BV10045181,117.248489,39.083497,120100021504,0,1
18,0,1号线,复兴门,1262 1334,BV10040437,117.260182,39.077205,120100021504,0,1
19,0,1号线,华山里,1262 1386,BV10045182,117.261895,39.066160,120100021504,0,1
20,0,1号线,财经大学,1262 1435,BV10041610,117.276919,39.063938,120100021504,0,1
21,0,1号线,双林,1262 1498,BV10045183,117.292143,39.057365,120100021504,0,1
22,0,1号线,李楼,1262 1580,BV10544486,117.317171,39.054449,120100021504,0,1
23,0,1号线,高庄子,1369 1864,BV11302693,117.360797,39.043101,120100021504,0,1
24,0,1号线,国家会展中心,1486 1865,BV11302695,117.383988,39.028975,120100021504,0,1
25,0,1号线,国瑞路,1548 1865,BV11302692,117.390747,39.021933,120100021504,0,1
