,route_index,route_name,name,stop_id,stop_poi_id,lon,lat,route,trans,su
0,0,1号线,西塱,435 975,BV10024397,113.231978,23.065437,440100023049|440100023043,1,1
1,0,1号线,坑口,435 939,BV10021881,113.232498,23.078878,440100023049,0,1
2,0,1号线,花地湾,434 905,BV10024404,113.234030,23.087055,440100023049,0,1
3,0,1号线,芳村,434 874,BV10013608,113.235703,23.098592,440100023049,0,1
4,0,1号线,黄沙,434 843,BV10015729,113.239856,23.110524,440100023049|440100023053,1,1
5,0,1号线,长寿路,434 809,BV10024403,113.242271,23.118402,440100023049,0,1
6,0,1号线,陈家祠,518 772,BV10015239,113.246439,23.125727,440100023049|440100023047,1,1
7,0,1号线,西门口,593 773,BV10024402,113.255830,23.125219,440100023049,0,1
8,0,1号线,公园前,680 773,BV10016207,113.264315,23.125446,440100023049|440100023308,1,1
9,0,1号线,农讲所,740 773,BV10013932,113.275602,23.126623,440100023049,0,1
10,0,1号线,烈士陵园,803 773,BV10013935,113.285663,23.126704,440100023049,0,1
11,0,1号线,东山口,861 773,BV10021603,113.295373,23.123980,440100023049|440100023053,1,1
12,0,1号线,杨箕,937 774,BV10024379,113.308877,23.128137,440100023049|440100023037,1,1
13,0,1号线,体育西路,1001 774,BV10014336,113.321503,23.131138,440100023049|440100023033|440100023031,1,1
14,0,1号线,体育中心,1091 713,BV10014526,113.328376,23.134970,440100023049,0,1
15,0,1号线,广州东站,1001 662,BV10024357,113.324851,23.150968,440100023049|440100023031,1,1
16,1,2号线,广州南站,652 1275,BV10019725,113.269125,22.988980,440100023308|900000043742,1,1
17,1,2号线,石壁,715 1228,BV10024412,113.277964,22.994136,440100023308|900000043742,1,1
18,1,2号线,会江,758 1194,BV10024413,113.286394,23.013047,440100023308,0,1
19,1,2号线,南浦,789 1155,BV10024414,113.293154,23.032929,440100023308,0,1
20,1,2号线,洛溪,788 1123,BV10024415,113.298665,23.042896,440100023308,0,1
21,1,2号线,南洲,788 1091,BV10024416,113.297367,23.064799,440100023308|440100023043,1,1
22,1,2号线,东晓南,733 1041,BV10024417,113.294174,23.071333,440100023308,0,1
23,1,2号线,江泰路,694 1013,BV10019562,113.280570,23.082231,440100023308,0,1
24,1,2号线,昌岗,680 984,BV10024399,113.276885,23.090654,440100023308|440100023047,1,1
25,1,2号线,江南西,680 935,BV10024418,113.273918,23.097214,440100023308,0,1
26,1,2号线,市二宫,680 897,BV10019502,113.269890,23.105996,440100023308,0,1
27,1,2号线,海珠广场,680 844,BV10018597,113.265344,23.114796,440100023308|440100023053,1,1
29,1,2号线,纪念堂,680 745,BV10024419,113.263431,23.132179,440100023308,0,1
30,1,2号线,越秀公园,680 721,BV10014173,113.261366,23.140041,440100023308,0,1
31,1,2号线,广州火车站,680 673,BV10015177,113.256603,23.148143,440100023308|440100023037,1,1
32,1,2号线,三元里,680 640,BV10014446,113.256851,23.159402,440100023308,0,1
33,1,2号线,飞翔公园,706 593,BV10024420,113.263752,23.168915,440100023308,0,1
34,1,2号线,白云公园,738 564,BV10024421,113.270966,23.181613,440100023308,0,1
35,1,2号线,白云文化广场,772 534,BV10024422,113.275602,23.189574,440100023308,0,1
36,1,2号线,萧岗,806 504,BV10024423,113.280697,23.198580,440100023308,0,1
37,1,2号线,江夏,838 476,BV10014251,113.283451,23.211301,440100023308,0,1
38,1,2号线,黄边,869 448,BV10016172,113.287376,23.221645,440100023308,0,1
39,1,2号线,嘉禾望岗,905 416,BV10024352,113.289243,23.237460,440100023308|440100023031|900000074701,1,1
40,2,3号线,番禺广场,1068 1291,BV10019880,113.385642,22.935482,440100023033,0,1
41,2,3号线,市桥,1034 1260,BV10024358,113.361726,22.949743,440100023033,0,1
42,2,3号线,汉溪长隆,1003 1217,BV10024359,113.330170,22.992931,440100023033|900000043742,1,1
43,2,3号线,大石,1003 1172,BV10019878,113.321744,23.017761,440100023033,0,1
44,2,3号线,厦滘,1003 1127,BV10024360,113.320837,23.038007,440100023033,0,1
45,2,3号线,沥滘,1003 1091,BV10014515,113.319077,23.054898,440100023033|440100023043,1,1
