,route_index,route_name,name,stop_id,stop_poi_id,lon,lat,route,trans,su
0,0,1号线,五根松,1562 849,BV10996460,104.081369,30.502041,510100022320,0,1
1,0,1号线,广都,1486 850,BV10523581,104.075713,30.510752,510100022320,0,1
2,0,1号线,四河,1447 886,BV10523584,104.070125,30.516133,900000071951|510100022320,1,1
3,0,1号线,华府大道,1407 887,BV10523582,104.069836,30.525746,900000071951|510100022320,0,1
4,0,1号线,天府五街,1367 887,BV10523585,104.069510,30.537107,900000071951|510100022320,0,1
5,0,1号线,天府三街,1323 887,BV10523583,104.069204,30.546203,900000071951|510100022320,0,1
6,0,1号线,世纪城,1275 883,BV10062614,104.068930,30.554870,900000071951|510100022320|900000068815,1,1
7,0,1号线,锦城广场,1217 887,BV10069528,104.066528,30.567722,900000071951|510100022320,0,1
8,0,1号线,孵化园,1128 835,BV10069259,104.064313,30.575873,900000071951|510100022320|900000075807|900000068815,1,1
9,0,1号线,金融城,1121 800,BV10069527,104.064147,30.582579,900000071951|510100022320,0,1
10,0,1号线,高新,1122 765,BV10063180,104.063847,30.594368,900000071951|510100022320,0,1
11,0,1号线,火车南站,1134 724,BV10061281,104.067393,30.605459,900000071951|510100022320|900000039592|900000068815,1,1
12,0,1号线,桐梓林,1134 690,BV10060982,104.067115,30.615310,900000071951|510100022320,0,1
13,0,1号线,倪家桥,1134 654,BV10060980,104.066885,30.624773,900000071951|510100022320|900000075312,1,1
14,0,1号线,省体育馆,1134 614,BV10060978,104.066606,30.633361,900000071951|510100022320|900000039590,1,1
15,0,1号线,华西坝,1134 587,BV10060965,104.066279,30.642821,900000071951|510100022320,0,1
16,0,1号线,锦江宾馆,1134 564,BV10060963,104.066053,30.650046,900000071951|510100022320,0,1
17,0,1号线,天府广场,1134 535,BV10069526,104.065751,30.657453,900000071951|510100022320|510100024533,1,1
18,0,1号线,骡马市,1134 504,BV10063364,104.065617,30.666514,900000071951|510100022320|900000039621,1,1
19,0,1号线,文殊院,1134 462,BV10064198,104.068036,30.672535,900000071951|510100022320,0,1
20,0,1号线,人民北路,1134 415,BV10061673,104.073056,30.684833,900000071951|510100022320|900000061908,1,1
21,0,1号线,火车北站,1134 367,BV10069525,104.074056,30.695517,900000071951|510100022320|900000039592,1,1
22,0,1号线,升仙湖,1133 316,BV10063082,104.083474,30.704625,900000071951|510100022320,0,1
23,0,1号线,韦家碾,1133 270,BV10996461,104.086860,30.717644,900000071951|510100022320,0,1
24,1,1号线,科学城,1903 885,BV10831047,104.072328,30.391243,900000071951,0,1
25,1,1号线,兴隆湖,1852 885,BV10831050,104.076412,30.405196,900000071951,0,1
26,1,1号线,广州路,1797 885,BV10831048,104.077269,30.419021,900000071951,0,1
27,1,1号线,西博城,1742 882,BV10909938,104.074399,30.424349,900000071951|900000061908|900000068815,1,1
28,1,1号线,天府公园,1705 885,BV10831052,104.077748,30.432976,900000071951,0,1
29,1,1号线,武汉路,1669 886,BV10831049,104.072910,30.441619,900000071951,0,1
30,1,1号线,麓湖,1634 886,BV10831053,104.073293,30.454527,900000071951,0,1
31,1,1号线,红石公园,1598 886,BV10831051,104.073007,30.464257,900000071951,0,1
32,1,1号线,广福,1561 886,BV10831054,104.069325,30.478693,900000071951,0,1
33,1,1号线,海昌路,1524 883,BV10831917,104.071583,30.492778,900000071951|900000068815,1,1
34,1,1号线,华阳,1486 886,BV10833881,104.070521,30.503167,900000071951,0,1
57,2,2号线,犀浦,537 260,BV10069540,103.970071,30.757860,510100024533|900000061908,1,1
58,2,2号线,天河路,574 280,BV11315882,103.976163,30.745883,510100024533,0,1
59,2,2号线,百草路,606 296,BV10061184,103.979327,30.733062,510100024533,0,1
60,2,2号线,金周路,641 316,BV10069538,103.996175,30.721638,510100024533,0,1
61,2,2号线,金科北路,670 332,BV10069537,104.006635,30.720762,510100024533,0,1
62,2,2号线,迎宾大道,701 348,BV10063719,104.013528,30.713168,510100024533,0,1
