,route_index,route_name,name,stop_id,stop_poi_id,lon,lat,route,trans,su
0,0,1号线,堰桥,1033 0,BV10125108,120.314910,31.675557,320200021334,0,1
1,0,1号线,锡北运河,1032 84,BV10128149,120.314878,31.662275,320200021334,0,1
2,0,1号线,西漳,975 176,BV10128148,120.303648,31.645835,320200021334,0,1
3,0,1号线,天一,975 249,BV10128147,120.304345,31.637838,320200021334,0,1
4,0,1号线,刘潭,974 323,BV10128146,120.304405,31.626619,320200021334,0,1
5,0,1号线,庄前,974 392,BV10128145,120.304897,31.609833,320200021334,0,1
6,0,1号线,民丰,973 456,BV10128144,120.303539,31.600949,320200021334,0,1
7,0,1号线,无锡火车站,1001 527,BV10128126,120.306767,31.589407,320200021334|320200021052,1,1
8,0,1号线,胜利门,974 571,BV10124809,120.299901,31.581945,320200021334,0,1
9,0,1号线,三阳广场,962 639,BV10128109,120.299815,31.575787,320200021334|900000029089,1,1
10,0,1号线,南禅寺,991 675,BV10124807,120.306161,31.567481,320200021334,0,1
11,0,1号线,谈渡桥,990 721,BV10128143,120.305131,31.562049,320200021334,0,1
12,0,1号线,太湖广场,990 765,BV10128142,120.305212,31.555193,320200021334,0,1
13,0,1号线,清名桥,1022 799,BV10128141,120.311299,31.549239,320200021334,0,1
14,0,1号线,人民医院,1063 839,BV10124642,120.319300,31.541931,320200021334,0,1
15,0,1号线,华清大桥,1106 880,BV10127903,120.327989,31.533799,320200021334,0,1
16,0,1号线,扬名,1079 960,BV10128140,120.324500,31.521122,320200021334,0,1
17,0,1号线,南湖家园,1078 1026,BV10128139,120.324167,31.509787,320200021334,0,1
18,0,1号线,塘铁桥,1078 1090,BV10128138,120.325888,31.500782,320200021334,0,1
19,0,1号线,金匮公园,1034 1144,BV10125038,120.320208,31.493467,320200021334,0,1
20,0,1号线,市民中心,968 1144,BV10128137,120.305158,31.491101,320200021334,0,1
21,0,1号线,文化宫,899 1144,BV10124415,120.291179,31.490014,320200021334,0,1
22,0,1号线,江南大学,849 1173,BV10125530,120.278763,31.483933,320200021334,0,1
23,0,1号线,长广溪,849 1225,BV10128136,120.277388,31.473366,320200021334,0,1
24,0,1号线,雪浪,849 1274,BV10886627,120.279623,31.459934,320200021334,0,1
25,0,1号线,葛埭桥,849 1321,BV10886628,120.274227,31.447770,320200021334,0,1
26,0,1号线,南方泉,849 1370,BV10886626,120.270275,31.436882,320200021334,0,1
27,1,2号线,无锡东站,1755 508,BV10124723,120.460118,31.596981,900000029089,0,1
28,1,2号线,迎宾广场,1710 556,BV10417343,120.454474,31.591617,900000029089,0,1
29,1,2号线,映月湖公园,1664 603,BV10417338,120.449698,31.587221,900000029089,0,1
30,1,2号线,查桥,1595 606,BV10417334,120.431377,31.581120,900000029089,0,1
31,1,2号线,九里河公园,1522 607,BV10417332,120.408619,31.580374,900000029089,0,1
32,1,2号线,云林,1454 608,BV10417340,120.395030,31.579536,900000029089,0,1
33,1,2号线,庄桥,1382 610,BV10417331,120.379073,31.578105,900000029089,0,1
34,1,2号线,东亭,1315 611,BV10417336,120.363665,31.582134,900000029089,0,1
35,1,2号线,柏庄,1251 557,BV10417346,120.351078,31.585997,900000029089,0,1
36,1,2号线,广益,1209 557,BV10417337,120.341347,31.586566,900000029089,0,1
37,1,2号线,靖海,1129 596,BV10417328,120.330414,31.583353,900000029089|320200021052,1,1
38,1,2号线,上马墩,1060 638,BV10417339,120.320767,31.582366,900000029089,0,1
39,1,2号线,东林广场,1021 638,BV10417345,120.308394,31.578479,900000029089,0,1
41,1,2号线,五爱广场,927 642,BV10417344,120.290551,31.573626,900000029089,0,1
42,1,2号线,梁溪大桥,882 680,BV10417335,120.286370,31.567255,900000029089,0,1
43,1,2号线,大王基,833 721,BV10417341,120.275666,31.564803,900000029089,0,1
44,1,2号线,河埒口,768 724,BV10417342,120.260863,31.562011,900000029089,0,1
45,1,2号线,小桃源,682 724,BV10417330,120.249470,31.559200,900000029089,0,1
