,route_index,route_name,name,stop_id,stop_poi_id,lon,lat,route,trans,su
0,0,1号线,环城南路,780 639,BV10288747,102.720923,25.024383,530100021492|900000066456|530100021490,1,1
1,0,1号线,昆明火车站,780 670,BV10288758,102.723795,25.013698,530100021492|900000066456,0,1
2,0,1号线,福德,780 734,BV10288757,102.730365,25.006896,530100021492|900000066456,0,1
3,0,1号线,日新路,780 797,BV10287534,102.735077,25.001354,530100021492|900000066456,0,1
4,0,1号线,巫家坝,780 862,BV10287012,102.741612,24.996793,530100021492|900000066456,0,1
5,0,1号线,昌宏西路,780 925,BV10288756,102.751029,24.986379,530100021492|900000066456,0,1
6,0,1号线,晓东村,780 988,BV10287249,102.761957,24.985303,530100021492|900000066456,0,1
7,0,1号线,珥季路,780 1052,BV10288755,102.767018,24.972614,530100021492|900000066456,0,1
8,0,1号线,星耀路,780 1116,BV10288754,102.768296,24.956967,530100021492|900000066456,0,1
9,0,1号线,新亚洲体育城,782 1180,BV10287268,102.769808,24.947096,530100021492|900000066456,0,1
10,0,1号线,南部汽车站,877 1255,BV10288753,102.775250,24.929345,530100021492|900000066456,0,1
11,0,1号线,斗南,1078 1408,BV10287852,102.791855,24.908169,530100021492|900000066456,1,1
12,0,1号线,春融街,1160 1470,BV10288752,102.825302,24.884035,530100021492|900000066456,0,1
13,0,1号线,驼峰街,1241 1533,BV10288751,102.829427,24.872448,530100021492,0,1
14,0,1号线,联大街,1327 1611,BV10287758,102.833951,24.859673,530100021492,1,1
15,0,1号线,谊康南路,1327 1799,BV10288750,102.838259,24.847629,530100021492,0,1
16,0,1号线,大学城,1327 1899,BV10288749,102.842417,24.835941,530100021492,0,1
17,0,1号线,大学城南,1326 2000,BV10288748,102.826176,24.822199,530100021492,0,1
31,1,1号线支线,市级行政中心清风,1233 1415,BV10786439,102.836439,24.882183,900000066456,0,1
32,1,1号线支线,宜和路,1306 1363,BV10786440,102.844818,24.884599,900000066456,0,1
33,1,1号线支线,白龙潭,1495 1502,BV10786438,102.851919,24.874763,900000066456,0,1
34,1,1号线支线,昆明南火车站,1496 1612,BV10786441,102.858484,24.870521,900000066456,1,1
36,2,2号线,塘子巷,781 601,BV10287392,102.720080,25.032405,530100021490,1,1
37,2,2号线,东风广场,781 537,BV10288035,102.719665,25.038080,530100021490|900000040209,1,1
38,2,2号线,交三桥,780 490,BV10286903,102.719484,25.042425,530100021490,0,1
39,2,2号线,穿心鼓楼,780 441,BV10287453,102.719543,25.049251,530100021490,0,1
40,2,2号线,火车北站,781 353,BV10286869,102.720577,25.055969,530100021490,1,1
41,2,2号线,白云路,781 318,BV10288709,102.723949,25.065956,530100021490,0,1
42,2,2号线,金星,782 289,BV10288746,102.727567,25.075547,530100021490,0,1
43,2,2号线,北辰,831 248,BV10288745,102.732496,25.081046,530100021490,0,1
44,2,2号线,霖雨桥,894 199,BV10286943,102.739183,25.093315,530100021490,0,1
45,2,2号线,羊肠村,956 152,BV10287654,102.742021,25.101132,530100021490,0,1
46,2,2号线,司家营,1017 105,BV10287661,102.745690,25.109715,530100021490,0,1
47,2,2号线,龙头街,1079 58,BV10286914,102.753801,25.111895,530100021490,0,1
48,2,2号线,北部汽车站,1154 0,BV10288744,102.763350,25.107208,530100021490,0,1
49,3,3号线,西山公园,0 750,BV10926564,102.618095,24.984176,900000040209,0,1
50,3,3号线,车家壁,51 711,BV10926563,102.615680,24.994413,900000040209,0,1
51,3,3号线,普坪村,96 676,BV10926561,102.621099,25.005415,900000040209,0,1
52,3,3号线,石咀,140 643,BV10544506,102.629454,25.018123,900000040209,0,1
53,3,3号线,大渔路,183 610,BV10544514,102.635661,25.027713,900000040209,0,1
54,3,3号线,西部汽车站,227 576,BV10544508,102.638836,25.035271,900000040209,0,1
55,3,3号线,眠山,278 540,BV10544513,102.649438,25.047161,900000040209,0,1
56,3,3号线,昌源中路,351 538,BV10544502,102.656855,25.046652,900000040209,0,1
57,3,3号线,西苑,423 538,BV10544515,102.666506,25.045937,900000040209,0,1
58,3,3号线,梁家河,496 537,BV10544509,102.677940,25.045082,900000040209,0,1
59,3,3号线,市体育馆,569 537,BV10544511,102.687386,25.044420,900000040209,0,1
60,3,3号线,潘家湾,639 537,BV10926562,102.695467,25.043765,900000040209,0,1
61,3,3号线,五一路,707 537,BV10544510,102.706347,25.037085,900000040209,0,1
63,3,3号线,拓东体育馆,910 537,BV10544504,102.729796,25.038291,900000040209,0,1
64,3,3号线,大树营,1043 537,BV10544503,102.740995,25.037211,900000040209,1,1
65,3,3号线,金马寺,1136 537,BV10544501,102.751215,25.036005,900000040209,0,1
66,3,3号线,太平村,1240 537,BV10544507,102.760802,25.036393,900000040209,0,1
67,3,3号线,虹桥,1344 537,BV10544512,102.773152,25.036090,900000040209,0,1
68,3,3号线,东部汽车站,1440 537,BV10288739,102.788301,25.036220,900000040209|530100020528,1,1
69,4,4号线,金川路,164 217,BV10825689,102.657587,25.09849,900000071083,0,1
70,4,4号线,大河埂,164 315,BV10825688,102.655239,25.090243,900000071083,0,1
71,4,4号线,海屯路,297 356,BV10825673,102.662071,25.077177,900000071083,0,1
72,4,4号线,小屯,378 355,BV10825679,102.674375,25.071105,900000071083,0,1
73,4,4号线,金鼎山北路,455 355,BV10825665,102.684336,25.06421,900000071083,0,1
74,4,4号线,苏家塘,555 354,BV11300054,102.692655,25.063907,900000071083,0,1
75,4,4号线,小菜园,654 354,BV10825674,102.708677,25.060624,900000071083,0,1
77,4,4号线,白龙路,975 354,BV10825670,102.735134,25.049091,900000071083,0,1
79,4,4号线,菊花村,1080 559,BV10825681,102.743298,25.030369,900000071083,0,1
80,4,4号线,菊华,1150 602,BV10825677,102.749680,25.024119,900000071083|530100020528,1,1
81,4,4号线,和甸营,1379 732,BV10825658,102.762167,25.015702,900000071083,0,1
82,4,4号线,牛街庄,1379 810,BV10825698,102.779734,25.005423,900000071083,0,1
83,4,4号线,朱家村,1380 895,BV10825655,102.783625,24.993534,900000071083,0,1
84,4,4号线,羊甫头,1381 985,BV10825690,102.787582,24.977361,900000071083,0,1
85,4,4号线,玉缘路,1382 1081,BV10825668,102.786498,24.965009,900000071083,0,1
86,4,4号线,广卫,1382 1172,BV10825683,102.784886,24.950424,900000071083,0,1
87,4,4号线,塔密,1236 1285,BV10825678,102.788028,24.937435,900000071083,0,1
89,4,4号线,金桂街,1047 1433,BV10825659,102.787047,24.900333,900000071083,0,1
90,4,4号线,梅子村,1013 1460,BV10825693,102.788489,24.892582,900000071083,0,1
91,4,4号线,古城,977 1515,BV10825699,102.79446,24.883768,900000071083,0,1
92,4,4号线,可乐村,977 1547,BV10825663,102.798268,24.873306,900000071083,0,1
93,4,4号线,祥丰街,977 1578,BV10825695,102.802538,24.858324,900000071083,0,1
94,4,4号线,牛头山,1148 1609,BV10825660,102.819262,24.855198,900000071083,0,1
96,4,4号线,吴家营,1414 1611,BV10825675,102.848072,24.86582,900000071083,0,1
98,5,6号线,机场中心,1968 136,BV10288742,102.927756,25.095468,530100020528,0,1
99,5,6号线,机场前,1860 218,BV10288741,102.913491,25.084818,530100020528,0,1
100,5,6号线,大板桥,1603 413,BV10288740,102.876471,25.053348,530100020528,0,1
