,route_index,route_name,name,stop_id,stop_poi_id,lon,lat,route,trans,su
0,0,1号线,黎明广场,1629 876,BV10052112,123.504308,41.808120,210100020752,0,1
1,0,1号线,滂江街,1521 876,BV10052113,123.488594,41.808405,210100020752|900000039634,1,1
2,0,1号线,东中街,1424 927,BV10049348,123.470596,41.802831,210100020752,0,1
3,0,1号线,中街,1354 928,BV10049410,123.461001,41.801344,210100020752,0,1
4,0,1号线,怀远门,1239 967,BV10052114,123.447255,41.796947,210100020752,0,1
5,0,1号线,青年大街,1177 1006,BV10052103,123.432863,41.792236,210100020752|210100020748,1,1
6,0,1号线,南市场,1104 1007,BV10052115,123.419906,41.789396,210100020752,0,1
7,0,1号线,太原街,1022 982,BV10052116,123.406644,41.789528,210100020752,0,1
8,0,1号线,沈阳站,960 921,BV10049359,123.396798,41.793772,210100020752,0,1
9,0,1号线,云峰北街,882 890,BV10052117,123.380560,41.796570,210100020752,0,1
10,0,1号线,铁西广场,784 918,BV10049306,123.370666,41.794160,210100020752|900000039632,1,1
11,0,1号线,保工街,726 859,BV10052118,123.356113,41.800291,210100020752,0,1
12,0,1号线,启工街,637 812,BV10052119,123.343559,41.803726,210100020752,0,1
13,0,1号线,重工街,556 812,BV10052120,123.331973,41.805072,210100020752,0,1
14,0,1号线,迎宾路,472 811,BV10052121,123.309668,41.801583,210100020752,0,1
15,0,1号线,于洪广场,374 859,BV10051015,123.305686,41.794186,210100020752,0,1
16,0,1号线,开发大道,374 909,BV10052122,123.305135,41.781118,210100020752,0,1
17,0,1号线,张士,346 978,BV10052033,123.294099,41.771936,210100020752,0,1
18,0,1号线,四号街,274 1022,BV10052123,123.277277,41.766026,210100020752,0,1
19,0,1号线,七号街,208 1022,BV10052124,123.259340,41.765381,210100020752,0,1
20,0,1号线,中央大街,129 1022,BV10052125,123.242537,41.765395,210100020752,0,1
21,0,1号线,十三号街,14 1022,BV10052126,123.230509,41.765462,210100020752,0,1
22,1,2号线,蒲田路,1263 0,BV11007106,123.405529,41.956447,210100020748,0,1
23,1,2号线,蒲河路,1263 63,BV11007109,123.408584,41.946825,210100020748,0,1
24,1,2号线,人杰湖公园,1167 115,BV11007108,123.398316,41.936610,210100020748,0,1
25,1,2号线,辽宁大学,1117 162,BV11007107,123.393711,41.929389,210100020748,0,1
26,1,2号线,航空航天大学,1117 216,BV10052109,123.403080,41.917793,210100020748,0,1
27,1,2号线,师范大学,1117 267,BV10052108,123.409145,41.907692,210100020748,0,1
28,1,2号线,医学院,1117 317,BV10052107,123.415607,41.886400,210100020748,0,1
29,1,2号线,三台子,1117 367,BV10049801,123.417133,41.868337,210100020748,0,1
30,1,2号线,陵西,1117 417,BV10052106,123.418239,41.855421,210100020748,0,1
31,1,2号线,新乐遗址,1117 467,BV10049808,123.418892,41.847476,210100020748,0,1
32,1,2号线,北陵公园,1163 522,BV10049675,123.424240,41.839395,210100020748,0,1
33,1,2号线,中医药大学,1208 558,BV10052105,123.429060,41.833626,210100020748|900000039634,1,1
34,1,2号线,岐山路,1208 670,BV10050453,123.429258,41.822728,210100020748,0,1
35,1,2号线,沈阳北站,1263 756,BV10049324,123.435977,41.817355,210100020748,0,1
36,1,2号线,金融中心,1272 830,BV10052104,123.438257,41.811745,210100020748,0,1
37,1,2号线,市府广场,1210 886,BV10050038,123.434229,41.804497,210100020748,0,1
38,1,2号线,青年大街,1177 1006,BV10052103,123.432863,41.792236,210100020752|210100020748,1,1
39,1,2号线,青年公园,1178 1064,BV10050035,123.435871,41.784718,210100020748,0,1
40,1,2号线,工业展览馆,1179 1127,BV10052102,123.435319,41.773193,210100020748,0,1
41,1,2号线,市图书馆,1180 1201,BV10049589,123.435895,41.760047,210100020748,0,1
42,1,2号线,五里河,1183 1279,BV10050032,123.441016,41.753209,210100020748,0,1
43,1,2号线,奥体中心,1259 1354,BV10049972,123.453579,41.743061,210100020748|900000039632,1,1
44,1,2号线,营盘街,1286 1425,BV10052101,123.456491,41.731345,210100020748,0,1
45,1,2号线,世纪大厦,1320 1499,BV10052100,123.461955,41.719789,210100020748,0,1
46,1,2号线,白塔河路,1384 1562,BV10049952,123.471680,41.709422,210100020748,0,1
47,1,2号线,全运路,1463 1641,BV10052098,123.482502,41.707485,210100020748,0,1
48,2,9号线,怒江公园,904 473,BV10536781,123.388938,41.842252,900000039632,0,1
49,2,9号线,淮河街沈医二院,880 557,BV10536797,123.390537,41.829941,900000039632|900000039634,1,1
50,2,9号线,皇姑屯站,861 634,BV11412378,123.386749,41.821366,900000039632,0,1
51,2,9号线,重型文化广场,842 705,BV10536787,123.383861,41.813220,900000039632,0,1
52,2,9号线,北二路,820 787,BV10536776,123.378755,41.804706,900000039632,0,1
53,2,9号线,铁西广场,784 918,BV10049306,123.370666,41.794160,210100020752|900000039632,1,1
54,2,9号线,兴华公园,766 976,BV10536786,123.365836,41.787634,900000039632,0,1
55,2,9号线,沈辽路,744 1048,BV10536775,123.361260,41.781587,900000039632,0,1
56,2,9号线,滑翔,725 1109,BV10536778,123.358797,41.772247,900000039632,0,1
57,2,9号线,吉力湖街,705 1178,BV10536773,123.344612,41.760797,900000039632,0,1
58,2,9号线,大通湖街,686 1240,BV10999754,123.347148,41.750949,900000039632,0,1
59,2,9号线,曹仲,667 1331,BV10536790,123.361366,41.732254,900000039632,0,1
60,2,9号线,浑河站,707 1354,BV10999750,123.372388,41.726716,900000039632,0,1
