,route_index,route_name,name,stop_id,stop_poi_id,lon,lat,route,trans,su
0,0,1号线/罗宝线,罗湖,1261 942,BV10249978,114.118666,22.532083,440300024063,0,1
1,0,1号线/罗宝线,国贸,1261 839,BV10243546,114.118909,22.539680,440300024063,0,1
2,0,1号线/罗宝线,老街,1261 694,BV10249964,114.116939,22.544232,440300024063|440300024060,1,1
3,0,1号线/罗宝线,大剧院,1193 761,BV10246013,114.107811,22.541800,440300024063|440300024076,1,1
4,0,1号线/罗宝线,大剧院,1193 761,BV10246013,114.107811,22.541800,440300024063|440300024076,1,1
5,0,1号线/罗宝线,科学馆,1112 839,BV10245558,114.095173,22.540618,440300024063|440300024046,1,1
6,0,1号线/罗宝线,华强路,1069 839,BV10249909,114.085133,22.540459,440300024063,0,1
7,0,1号线/罗宝线,岗厦,959 839,BV10243519,114.068190,22.534854,440300024063|900000055265,1,1
8,0,1号线/罗宝线,会展中心,884 839,BV10243493,114.061101,22.534769,440300024063|440300024074,1,1
9,0,1号线/罗宝线,购物公园,850 839,BV10248569,114.054581,22.534655,440300024063|440300024060,1,1
10,0,1号线/罗宝线,香蜜湖,784 839,BV10243468,114.038637,22.538887,440300024063,0,1
11,0,1号线/罗宝线,车公庙,739 839,BV10249928,114.025830,22.536247,440300024063|440300024050|440300024054|440300024056,1,1
12,0,1号线/罗宝线,竹子林,693 839,BV10243704,114.013917,22.533357,440300024063,0,1
13,0,1号线/罗宝线,侨城东,646 839,BV10249977,113.996651,22.532406,440300024063,0,1
14,0,1号线/罗宝线,华侨城,595 839,BV10249976,113.985369,22.533489,440300024063,0,1
15,0,1号线/罗宝线,世界之窗,526 839,BV10242356,113.974216,22.536900,440300024063|440300024076,1,1
16,0,1号线/罗宝线,白石洲,473 839,BV10244044,113.967048,22.539604,440300024063,0,1
17,0,1号线/罗宝线,高新园,422 839,BV10249975,113.953842,22.540236,440300024063,0,1
18,0,1号线/罗宝线,深大,374 839,BV10249974,113.944173,22.538667,440300024063,0,1
19,0,1号线/罗宝线,桃园,329 839,BV10249851,113.924857,22.532357,440300024063,0,1
20,0,1号线/罗宝线,大新,282 839,BV10249973,113.915072,22.532232,440300024063,0,1
21,0,1号线/罗宝线,鲤鱼门,234 839,BV10249972,113.903079,22.532005,440300024063,0,1
22,0,1号线/罗宝线,前海湾,186 839,BV10249931,113.897932,22.537121,440300024063|440300024058|440300024056,1,1
23,0,1号线/罗宝线,新安,186 789,BV10249971,113.894625,22.547468,440300024063,0,1
24,0,1号线/罗宝线,宝安中心,186 745,BV10249947,113.887233,22.554575,440300024063|440300024058,1,1
25,0,1号线/罗宝线,宝体,160 704,BV10249970,113.880641,22.560741,440300024063,0,1
26,0,1号线/罗宝线,坪洲,160 660,BV10249969,113.870711,22.568908,440300024063,0,1
27,0,1号线/罗宝线,西乡,159 615,BV10249968,113.863048,22.575149,440300024063,0,1
28,0,1号线/罗宝线,固戍,159 569,BV10242458,113.846792,22.601363,440300024063,0,1
29,0,1号线/罗宝线,后瑞,159 524,BV10244581,113.835449,22.628835,440300024063,0,1
30,0,1号线/罗宝线,机场东,159 475,BV10249071,113.822634,22.647001,440300024063,0,1
31,1,2号线(8号线),赤湾,98 1154,BV10249984,113.897525,22.479227,440300024076|440300024058,1,1
32,1,2号线(8号线),蛇口港,139 1193,BV10249985,113.912331,22.476626,440300024076,0,1
33,1,2号线(8号线),海上世界,179 1181,BV10244034,113.915111,22.485101,440300024076,0,1
34,1,2号线(8号线),水湾,211 1151,BV10249986,113.919686,22.488389,440300024076,0,1
35,1,2号线(8号线),东角头,244 1118,BV10244079,113.931149,22.486325,440300024076,0,1
36,1,2号线(8号线),湾厦,276 1087,BV10249987,113.938604,22.493353,440300024076,0,1
37,1,2号线(8号线),海月,307 1058,BV10249988,113.937715,22.500409,440300024076,0,1
38,1,2号线(8号线),登良,339 1027,BV10249989,113.937602,22.509146,440300024076,0,1
39,1,2号线(8号线),后海,386 981,BV10249990,113.942498,22.518422,440300024056|440300024076,1,1
40,1,2号线(8号线),科苑,421 888,BV10249991,113.946195,22.527019,440300024076,0,1
41,1,2号线(8号线),红树湾,473 887,BV10249992,113.968432,22.525142,440300024076,0,1
42,1,2号线(8号线),世界之窗,526 839,BV10242356,113.974216,22.536900,440300024063|440300024076,1,1
43,1,2号线(8号线),侨城北,532 760,BV10249993,113.989148,22.543992,440300024076,0,1
44,1,2号线(8号线),深康,566 760,BV10249994,113.998846,22.546456,440300024076,0,1
45,1,2号线(8号线),安托山,635 760,BV10249904,114.006236,22.548785,440300024050|440300024076,1,1
46,1,2号线(8号线),侨香,653 760,BV10249995,114.014378,22.549784,440300024076,0,1
47,1,2号线(8号线),香蜜,670 760,BV10249996,114.023851,22.552772,440300024076,0,1
48,1,2号线(8号线),香梅北,706 761,BV10243787,114.032716,22.553860,440300024076,0,1
49,1,2号线(8号线),景田,740 761,BV10249926,114.043343,22.553419,440300024054|440300024076,1,1
50,1,2号线(8号线),莲花西,794 761,BV10249997,114.050034,22.546668,440300024076,0,1
51,1,2号线(8号线),福田,851 761,BV10249929,114.052879,22.540087,440300024060|440300024056|440300024076,1,1
52,1,2号线(8号线),市民中心,884 761,BV10243488,114.061192,22.541744,440300024074|440300024076,1,1
53,1,2号线(8号线),岗厦北,986 761,BV10249998,114.068982,22.540858,440300024076,0,1
54,1,2号线(8号线),华强北,1036 761,BV10243650,114.085413,22.544441,440300024050|440300024076,1,1
55,1,2号线(8号线),燕南,1110 761,BV10249999,114.092561,22.544541,440300024076,0,1
56,1,2号线(8号线),大剧院,1193 761,BV10246013,114.107811,22.541800,440300024063|440300024076,1,1
57,1,2号线(8号线),湖贝,1304 761,BV10250000,114.125437,22.544287,440300024076,0,1
58,1,2号线(8号线),黄贝岭,1367 761,BV10243876,114.136332,22.546095,440300024058|440300024076,1,1
59,1,2号线(8号线),新秀,1420 761,BV10249914,114.148765,22.547688,440300024076,0,1
60,1,2号线(8号线),莲塘口岸,1479 761,BV10677095,114.155585,22.553524,440300024076,0,1
61,1,2号线(8号线),仙湖路,1544 761,BV10677096,114.166405,22.564065,440300024076,0,1
62,1,2号线(8号线),莲塘,1602 762,BV10242475,114.174291,22.564118,440300024076,0,1
