,route_index,route_name,name,stop_id,stop_poi_id,lon,lat,route,trans,su
0,0,1号线,沣河森林公园,395 441,BV11146159,108.753079,34.320229,6.101E+11,0,1
1,0,1号线,北槐,460 470,BV11146160,108.763291,34.317347,6.101E+11,0,1
2,0,1号线,上林路,530 500,BV11146158,108.777618,34.313193,6.101E+11,0,1
3,0,1号线,沣东自贸园,587 526,BV11264943,108.79676,34.307257,6.101E+11,0,1
4,0,1号线,后卫寨,649 553,BV10073370,108.813536,34.300164,6.101E+11,0,1
5,0,1号线,三桥,740 595,BV10069756,108.832212,34.289958,6.101E+11,0,1
6,0,1号线,皂河,802 624,BV10073369,108.85242,34.284382,6.101E+11,0,1
7,0,1号线,枣园,834 639,BV10069587,108.862601,34.279195,6.101E+11,0,1
8,0,1号线,汉城路,869 655,BV10069744,108.873971,34.273042,6.101E+11,0,1
9,0,1号线,开远门,933 669,BV10073368,108.892467,34.269363,6.101E+11,0,1
10,0,1号线,劳动路,999 669,BV10070488,108.909781,34.26954,6.101E+11,0,1
11,0,1号线,玉祥门,1043 669,BV10069667,108.920911,34.269614,6.101E+11,0,1
12,0,1号线,洒金桥,1109 669,BV10069665,108.933825,34.269705,6.101E+11,0,1
13,0,1号线,北大街,1172 669,BV10069601,108.947165,34.269927,610100020728|610100021499,1,1
14,0,1号线,五路口,1256 669,BV10069696,108.962896,34.270019,610100020728|610100020613,1,1
15,0,1号线,朝阳门,1325 669,BV10070499,108.974075,34.269971,6.101E+11,0,1
16,0,1号线,康复路,1391 669,BV10069638,108.984468,34.269485,6.101E+11,0,1
17,0,1号线,通化门,1454 669,BV10073321,108.995383,34.269755,610100020728|610100020611,1,1
18,0,1号线,万寿路,1521 669,BV10070503,109.013057,34.269596,6.101E+11,0,1
19,0,1号线,长乐坡,1583 669,BV10070506,109.030418,34.27209,6.101E+11,0,1
20,0,1号线,浐河,1625 669,BV10070509,109.04443,34.27398,6.101E+11,0,1
21,0,1号线,半坡,1663 670,BV10070917,109.056131,34.275484,6.101E+11,0,1
22,0,1号线,纺织城,1708 670,BV10072292,109.069751,34.279465,610100020728|900000074587,1,1
23,1,2号线,韦曲南,1174 1241,BV10070786,108.945513,34.142117,6.101E+11,0,1
24,1,2号线,航天城,1174 1181,BV10073379,108.944668,34.158006,6.101E+11,0,1
25,1,2号线,凤栖原,1173 1121,BV10072788,108.945207,34.169216,6.101E+11,0,1
26,1,2号线,三爻,1173 1073,BV10073378,108.94591,34.183021,6.101E+11,0,1
27,1,2号线,会展中心,1173 1025,BV10070607,108.947444,34.198082,6.101E+11,0,1
28,1,2号线,纬一街,1173 981,BV10073377,108.946669,34.212592,6.101E+11,0,1
29,1,2号线,小寨,1172 924,BV10069800,108.946767,34.222838,610100021499|610100020611,1,1
30,1,2号线,体育场,1172 890,BV10073206,108.946796,34.232378,6.101E+11,0,1
31,1,2号线,南稍门,1172 859,BV10069702,108.946913,34.240378,610100021499|900000074025,1,1
32,1,2号线,永宁门,1172 783,BV10073376,108.946952,34.248186,6.101E+11,0,1
33,1,2号线,钟楼,1172 740,BV10069661,108.947035,34.261337,6.101E+11,0,1
34,1,2号线,北大街,1172 669,BV10069601,108.947165,34.269927,610100020728|610100021499,1,1
35,1,2号线,安远门,1172 642,BV10073375,108.947231,34.281185,6.101E+11,0,1
36,1,2号线,龙首原,1172 611,BV10073374,108.947298,34.292233,6.101E+11,0,1
37,1,2号线,大明宫西,1172 570,BV10073373,108.947265,34.305087,6.101E+11,0,1
38,1,2号线,市图书馆,1172 542,BV10069626,108.947348,34.317812,6.101E+11,0,1
39,1,2号线,凤城五路,1172 514,BV10069623,108.947288,34.329789,6.101E+11,0,1
40,1,2号线,行政中心,1172 478,BV10069654,108.947329,34.340983,610100021499|610100020613,1,1
41,1,2号线,运动公园,1172 441,BV10073372,108.947695,34.352431,6.101E+11,0,1
42,1,2号线,北苑,1165 415,BV10073371,108.945214,34.362016,6.101E+11,0,1
43,1,2号线,北客站,1154 391,BV10073328,108.939819,34.37271,6.101E+11,0,1
44,2,3号线,鱼化寨,778 901,BV10073315,108.848255,34.237997,6.101E+11,0,1
45,2,3号线,丈八北路,839 901,BV10592305,108.873214,34.237379,6.101E+11,0,1
46,2,3号线,延平门,885 901,BV10073317,108.887444,34.2372,6.101E+11,0,1
47,2,3号线,科技路,956 912,BV10680168,108.904211,34.23126,610100020611|610100020621,1,1
48,2,3号线,太白南路,1039 925,BV10592303,108.916648,34.225653,6.101E+11,0,1
49,2,3号线,吉祥村,1099 925,BV10069556,108.933298,34.222653,6.101E+11,0,1
50,2,3号线,小寨,1172 924,BV10069800,108.946767,34.222838,610100021499|610100020611,1,1
51,2,3号线,大雁塔,1258 924,BV10069778,108.964312,34.222802,610100020611|610100020613,1,1
52,2,3号线,北池头,1358 924,BV10070689,108.977247,34.223829,6.101E+11,0,1
53,2,3号线,青龙寺,1410 924,BV10070682,108.993768,34.230788,610100020611|900000074025,1,1
54,2,3号线,延兴门,1452 820,BV10592297,108.996738,34.244147,6.101E+11,0,1
55,2,3号线,咸宁路,1452 771,BV10680167,108.996744,34.251124,6.101E+11,0,1
56,2,3号线,长乐公园,1453 722,BV10592298,108.996143,34.260657,6.101E+11,0,1
57,2,3号线,通化门,1454 669,BV10073321,108.995383,34.269755,610100020728|610100020611,1,1
58,2,3号线,胡家庙,1454 637,BV10069886,108.995605,34.277787,6.101E+11,0,1
59,2,3号线,石家街,1454 605,BV10069866,108.995624,34.290893,6.101E+11,0,1
60,2,3号线,辛家庙,1455 572,BV10070002,108.995584,34.304945,6.101E+11,0,1
61,2,3号线,广泰门,1508 548,BV10592307,109.013223,34.310839,6.101E+11,0,1
62,2,3号线,桃花潭,1572 549,BV10617557,109.03319,34.311176,6.101E+11,0,1
63,2,3号线,浐灞中心,1622 522,BV10073322,109.04623,34.316972,6.101E+11,0,1
64,2,3号线,香湖湾,1622 495,BV10070945,109.052264,34.330161,6.101E+11,0,1
65,2,3号线,务庄,1622 458,BV10592299,109.047458,34.345264,6.101E+11,0,1
66,2,3号线,国际港务区,1622 423,BV10592301,109.03935,34.361112,6.101E+11,0,1
67,2,3号线,双寨,1623 399,BV10592302,109.041148,34.372396,6.101E+11,0,1
68,2,3号线,新筑,1623 377,BV10592304,109.042815,34.383076,6.101E+11,0,1
69,2,3号线,保税区,1623 354,BV10592306,109.044083,34.395588,6.101E+11,0,1
70,3,4号线,北客站(北广场),1138 333,BV10602592,108.938768,34.37939,610100020613|900000076251,1,1
71,3,4号线,元朔路,1051 385,BV10527896,108.929701,34.36716,6.101E+11,0,1
72,3,4号线,凤城十二路,1051 423,BV10527892,108.929745,34.359027,6.101E+11,0,1
