,route_index,route_name,name,stop_id,stop_poi_id,lon,lat,route,trans,su
0,0,1号线,小孟工业园,1552 1107,BV10955718,106.709631,26.497717,900000068716,0,1
1,0,1号线,清水江路,1552 1061,BV10955714,106.709301,26.507042,900000068716,0,1
2,0,1号线,长江路,1552 1016,BV10955712,106.711012,26.517896,900000068716,0,1
3,0,1号线,珠江路,1552 969,BV10955719,106.710916,26.526198,900000068716,0,1
4,0,1号线,望城坡,1552 923,BV10955720,106.712279,26.536496,900000068716,0,1
5,0,1号线,沙冲路,1552 878,BV10955711,106.703009,26.549737,900000068716,0,1
6,0,1号线,贵阳火车站,1552 832,BV10955710,106.703395,26.557631,900000068716,0,1
7,0,1号线,河滨公园,1552 787,BV10955709,106.707840,26.569234,900000068716,0,1
8,0,1号线,中山西路,1552 740,BV10955717,106.709770,26.577099,900000068716,0,1
9,0,1号线,喷水池,1552 695,BV10805833,106.710272,26.583623,900000068716|900000066417,1,1
10,0,1号线,北京路,1552 650,BV10955715,106.706289,26.592831,900000068716,0,1
11,0,1号线,八鸽岩,1552 602,BV10955708,106.703101,26.596972,900000068716,0,1
12,0,1号线,南垭路,1504 552,BV10955713,106.704979,26.615794,900000068716,0,1
13,0,1号线,雅关,1398 552,BV10955716,106.702330,26.636544,900000068716,0,1
14,0,1号线,贵阳北站,1291 552,BV10805832,106.675334,26.619512,900000068716,0,1
15,0,1号线,白鹭湖,1186 550,BV10805844,106.661739,26.619642,900000068716,0,1
16,0,1号线,新寨,1184 497,BV10805838,106.654321,26.629075,900000068716,0,1
17,0,1号线,阳关,1184 438,BV10805822,106.655737,26.639058,900000068716,0,1
18,0,1号线,国际生态会议中心,1074 378,BV10805828,106.648565,26.645633,900000068716,0,1
19,0,1号线,观山湖公园,966 378,BV10805823,106.631581,26.645087,900000068716,0,1
20,0,1号线,林城西路,858 378,BV10884259,106.617487,26.645228,900000068716|900000066417,1,1
21,0,1号线,阅山湖公园,751 378,BV10805831,106.608246,26.645964,900000068716,0,1
22,0,1号线,老湾塘,645 378,BV10805842,106.590209,26.648316,900000068716,0,1
23,0,1号线,下麦西,535 378,BV10805834,106.579946,26.655046,900000068716,0,1
24,0,1号线,窦官,384 375,BV11304483,106.569271,26.653414,900000068716,0,1
25,1,2号线,白云北路,857 0,BV10786430,106.625255,26.692439,900000066417,0,1
26,1,2号线,白云中路,857 68,BV10786426,106.63138,26.683171,900000066417,0,1
27,1,2号线,云峰大道,857 132,BV10786431,106.62506,26.678026,900000066417,0,1
28,1,2号线,泉湖公园,856 199,BV10786437,106.621795,26.66914,900000066417,0,1
29,1,2号线,枫林路,858 261,BV10786435,106.61757,26.661408,900000066417,0,1
30,1,2号线,诚信路,858 319,BV10786420,106.617569,26.651159,900000066417,0,1
31,1,2号线,林城西路,858 378,BV10884259,106.617487,26.645228,900000068716|900000066417,1,1
32,1,2号线,观山西路,858 443,BV10786416,106.61702,26.634981,900000066417,0,1
33,1,2号线,兴筑路,858 503,BV10786425,106.616523,26.623167,900000066417,0,1
34,1,2号线,金阳医院,858 562,BV10786424,106.621249,26.611661,900000066417,0,1
35,1,2号线,金阳南路,858 638,BV10786422,106.619938,26.603303,900000066417,0,1
36,1,2号线,茶园,883 695,BV10786428,106.623881,26.596805,900000066417,0,1
37,1,2号线,百花大道,952 695,BV10786421,106.636582,26.589454,900000066417,0,1
38,1,2号线,马王庙,1034 695,BV10786423,106.653293,26.586923,900000066417,0,1
39,1,2号线,北京西路,1126 695,BV10786436,106.660436,26.592642,900000066417,0,1
40,1,2号线,改茶路,1220 695,BV10786418,106.667507,26.583797,900000066417,0,1
41,1,2号线,黔春路,1312 695,BV10786419,106.679940,26.580707,900000066417,0,1
42,1,2号线,延安西路,1392 695,BV11474098,106.698170,26.581949,900000066417,0,1
43,1,2号线,紫林庵,1473 695,BV10786427,106.705365,26.582337,900000066417,0,1
44,1,2号线,喷水池,1552 695,BV10805833,106.710272,26.583623,900000068716|900000066417,1,1
45,1,2号线,阳明祠,1627 694,BV10786434,106.723111,26.582990,900000066417,0,1
46,1,2号线,省人民医院,1705 694,BV10786414,106.724577,26.577308,900000066417,0,1
47,1,2号线,宝山南路,1778 694,BV10786417,106.729154,26.570346,900000066417,0,1
48,1,2号线,油榨街,1855 693,BV10786433,106.731750,26.562296,900000066417,0,1
49,1,2号线,贵钢,1929 693,BV11538885,106.731897,26.554461,900000066417,0,1
50,1,2号线,富源北路,1984 733,BV11538884,106.738754,26.549254,900000066417,0,1
51,1,2号线,森林公园,1984 777,BV11538891,106.770644,26.546210,900000066417,0,1
52,1,2号线,见龙洞,1984 824,BV11538888,106.780787,26.546959,900000066417,0,1
53,1,2号线,龙洞堡机场,1984 874,BV11538886,106.798835,26.543783,900000066417,0,1
54,1,2号线,小碧,1984 926,BV11538893,106.789144,26.534948,900000066417,0,1
55,1,2号线,云盘,1984 980,BV11538892,106.780733,26.530491,900000066417,0,1
56,1,2号线,中兴路,1984 1029,BV11538889,106.777530,26.518927,900000066417,0,1
