,route_index,route_name,name,stop_id,stop_poi_id,lon,lat,route,trans,su
0,0,1号线,河南工业大学,166 352,BV10840260,113.542174,34.826597,410100022629,0,1
1,0,1号线,郑大科技园,167 433,BV10840261,113.541865,34.816735,410100022629,0,1
2,0,1号线,郑州大学,167 513,BV10840258,113.541443,34.807581,410100022629,0,1
3,0,1号线,梧桐街,168 597,BV10840262,113.540929,34.794393,410100022629,0,1
4,0,1号线,兰寨,169 677,BV10840259,113.541000,34.783442,410100022629,0,1
5,0,1号线,铁炉,170 774,BV10840256,113.540795,34.768091,410100022629|900000104418,1,1
6,0,1号线,市民中心,249 795,BV10840257,113.553932,34.762054,410100022629,0,1
7,0,1号线,西流湖,326 795,BV10494973,113.570188,34.761135,410100022629,0,1
8,0,1号线,西三环,399 795,BV10093843,113.588175,34.760193,410100022629,0,1
9,0,1号线,秦岭路,466 795,BV10091122,113.603314,34.756800,410100022629,0,1
10,0,1号线,五一公园,529 795,BV10091130,113.614308,34.755827,410100022629|900000058317,1,1
11,0,1号线,碧沙岗,600 795,BV10090683,113.624373,34.755040,410100022629,0,1
12,0,1号线,绿城广场,667 837,BV10090869,113.633548,34.747475,410100022629,0,1
13,0,1号线,医学院,730 837,BV10090526,113.642608,34.747529,410100022629,0,1
14,0,1号线,郑州火车站,795 837,BV10094119,113.656168,34.746627,410100022629,0,1
15,0,1号线,二七广场,859 794,BV10090591,113.665854,34.752527,410100022629|900000075776,1,1
16,0,1号线,人民路,909 760,BV10094118,113.673865,34.757566,410100022629,0,1
17,0,1号线,紫荆山,963 723,BV10090616,113.682064,34.762176,410100022629|410100021064,1,1
18,0,1号线,燕庄,1102 723,BV10094117,113.703396,34.763390,410100022629,0,1
19,0,1号线,民航路,1231 723,BV10094021,113.715814,34.763954,410100022629,0,1
20,0,1号线,会展中心,1402 723,BV10090883,113.725738,34.766727,410100022629|900000075797,1,1
21,0,1号线,黄河南路,1451 723,BV10092115,113.744513,34.762860,410100022629,0,1
22,0,1号线,农业南路,1502 723,BV10092735,113.755327,34.765423,410100022629,0,1
23,0,1号线,东风南路,1554 723,BV10092704,113.767132,34.764450,410100022629,0,1
24,0,1号线,郑州东站,1603 723,BV10094116,113.777099,34.759251,410100022629|900000058317,1,1
25,0,1号线,博学路,1708 723,BV10092325,113.792535,34.759935,410100022629,0,1
26,0,1号线,市体育中心,1788 642,BV10494972,113.810399,34.773100,410100022629,0,1
27,0,1号线,龙子湖,1788 537,BV10739833,113.810497,34.792726,410100022629,0,1
28,0,1号线,文苑北路,1788 450,BV10739836,113.812199,34.808447,410100022629,0,1
29,0,1号线,河南大学新区,1787 344,BV10843510,113.812659,34.820707,410100022629,0,1
30,1,2号线,贾河,467 82,BV11300681,113.593266,34.867408,410100021064,0,1
31,1,2号线,惠济区政府,554 83,BV11300683,113.611847,34.866048,410100021064,0,1
32,1,2号线,毛庄,640 83,BV11300679,113.626247,34.866549,410100021064,0,1
33,1,2号线,黄河迎宾馆,715 84,BV10861902,113.644402,34.867239,410100021064,0,1
34,1,2号线,金洼,798 85,BV11300680,113.662570,34.866934,410100021064,0,1
35,1,2号线,金达路,936 105,BV11300682,113.678767,34.862482,410100021064,0,1
36,1,2号线,刘庄,952 233,BV10602513,113.678979,34.843779,410100021064,0,1
37,1,2号线,柳林,954 300,BV10602510,113.681284,34.828431,410100021064,0,1
38,1,2号线,沙门,955 372,BV10602508,113.681710,34.819445,410100021064|900000075797,1,1
39,1,2号线,北三环,957 452,BV10602511,113.681518,34.804971,410100021064,0,1
40,1,2号线,东风路,959 527,BV10092137,113.681655,34.795852,410100021064,0,1
41,1,2号线,关虎屯,960 589,BV10602507,113.681686,34.789139,410100021064,0,1
42,1,2号线,黄河路,962 654,BV10091175,113.682045,34.773910,410100021064|900000058317,1,1
44,1,2号线,东大街,965 846,BV10093875,113.682089,34.747610,410100021064|900000075776,1,1
45,1,2号线,陇海东路,966 908,BV10094113,113.682045,34.738224,410100021064,0,1
46,1,2号线,二里岗,966 962,BV10602509,113.682049,34.728903,410100021064,0,1
47,1,2号线,南五里堡,967 1008,BV10602512,113.681180,34.720319,410100021064|900000058317,1,1
48,1,2号线,花寨,968 1063,BV10602514,113.682238,34.705974,410100021064,0,1
49,1,2号线,南三环,969 1116,BV10524873,113.682325,34.698847,410100021064,0,1
50,1,2号线,站马屯,970 1180,BV10602515,113.682446,34.684327,410100021064,0,1
51,1,2号线,南四环,971 1266,BV10524874,113.681898,34.662762,410100021064|900000060882,1,1
52,2,3号线,省体育中心,605 181,BV11283816,113.626003,34.831921,900000075776|900000075797,1,1
53,2,3号线,王砦,604 302,BV10859584,113.626011,34.819658,900000075776,0,1
54,2,3号线,兴隆铺,604 402,BV10859595,113.627676,34.807205,900000075776,0,1
55,2,3号线,同乐,604 490,BV10859581,113.635667,34.795326,900000075776,0,1
56,2,3号线,南阳新村,603 572,BV10859596,113.642243,34.785762,900000075776,0,1
57,2,3号线,海滩寺,603 654,BV10705654,113.650702,34.774286,900000075776|900000058317,1,1
58,2,3号线,大石桥,690 703,BV11283825,113.655734,34.765011,900000075776,0,1
59,2,3号线,人民公园,775 750,BV10859593,113.659983,34.758629,900000075776,0,1
61,2,3号线,西大街,909 819,BV10859586,113.676537,34.750320,900000075776,0,1
63,2,3号线,郑州文庙,1075 846,BV10859587,113.691404,34.746924,900000075776,0,1
64,2,3号线,博览中心,1186 846,BV10994071,113.703745,34.746902,900000075776,0,1
65,2,3号线,凤凰台,1298 846,BV10859589,113.713918,34.746925,900000075776,0,1
66,2,3号线,东十里铺,1403 845,BV11283824,113.726050,34.747001,900000075776|900000075797,1,1
67,2,3号线,通泰路,1456 845,BV10859590,113.733370,34.747954,900000075776,0,1
68,2,3号线,西周,1503 845,BV10859582,113.746855,34.747945,900000075776,0,1
69,2,3号线,东周,1551 845,BV10859597,113.758724,34.746440,900000075776,0,1
70,2,3号线,省骨科医院,1602 845,BV11194039,113.773861,34.745838,900000075776|900000058317,1,1
71,3,4号线,老鸦陈,449 181,BV10859918,113.617103,34.832763,900000075797,0,1
73,3,4号线,北二十里铺,699 182,BV10859929,113.640711,34.830874,900000075797,0,1
74,3,4号线,丰庆路,756 247,BV10859923,113.654541,34.829804,900000075797,0,1
75,3,4号线,张家村,814 311,BV11283836,113.661128,34.824280,900000075797,0,1
76,3,4号线,陈寨东,871 372,BV11285679,113.670006,34.819558,900000075797,0,1
78,3,4号线,杨君刘,1040 372,BV10859926,113.698460,34.819552,900000075797,0,1
79,3,4号线,森林公园北,1119 372,BV10859915,113.703681,34.826208,900000075797,0,1
80,3,4号线,清华附中,1194 372,BV11283837,113.713352,34.829464,900000075797,0,1
81,3,4号线,龙湖中环北,1270 373,BV10859916,113.726466,34.829436,900000075797,0,1
82,3,4号线,龙湖北,1332 373,BV10859930,113.734236,34.824700,900000075797,0,1
83,3,4号线,金融岛北,1397 379,BV10859917,113.734300,34.816268,900000075797,0,3
84,3,4号线,金融岛南,1399 427,BV10859920,113.736703,34.809189,900000075797,0,3
85,3,4号线,龙湖南,1399 480,BV10859931,113.738123,34.802924,900000075797,0,1
86,3,4号线,龙湖中环南,1400 533,BV10859928,113.737789,34.791181,900000075797,0,1
87,3,4号线,农业东路,1400 593,BV10859932,113.734711,34.783858,900000075797,0,1
88,3,4号线,中央商务区,1401 653,BV11194038,113.729406,34.778265,900000075797|900000058317,1,1
90,3,4号线,商鼎路,1402 781,BV10859925,113.726827,34.754511,900000075797,0,1
92,3,4号线,货站街,1404 906,BV10859911,113.726392,34.741406,900000075797,0,1
93,3,4号线,七里河,1406 1008,BV10705651,113.722318,34.720916,900000075797|900000058317,1,1
94,3,4号线,果树所,1480 1076,BV10859914,113.722014,34.711901,900000075797,0,1
95,3,4号线,金岱,1479 1155,BV10859924,113.726508,34.700763,900000075797,0,1
96,3,4号线,姚庄,1479 1233,BV10859922,113.734053,34.690457,900000075797,0,1
97,3,4号线,郎庄,1478 1313,BV10859912,113.738425,34.685105,900000075797,0,1
98,4,5号线,月季公园,529 750,BV10705653,113.622992,34.765726,900000058317,0,1
99,4,5号线,沙口路,529 703,BV10705660,113.640426,34.770541,900000058317,0,1
101,4,5号线,郑州人民医院,776 654,BV10705649,113.667203,34.774602,900000058317,0,1
103,4,5号线,省人民医院,1085 654,BV10705645,113.693327,34.774638,900000058317,0,1
104,4,5号线,姚砦·聂庄,1195 654,BV11194037,113.708499,34.774669,900000058317,0,1
105,4,5号线,众意西路,1305 653,BV10705643,113.718902,34.776325,900000058317,0,1
107,4,5号线,儿童医院·颐和医院,1466 653,BV10705657,113.750767,34.776122,900000058317,0,1
108,4,5号线,祭城,1538 653,BV10705662,113.766601,34.776693,900000058317,0,1
109,4,5号线,金水东路,1603 687,BV10705647,113.770879,34.769258,900000058317,0,1
111,4,5号线,康宁街,1602 785,BV10705670,113.773847,34.750463,900000058317,0,1
113,4,5号线,经北二路,1602 898,BV10705663,113.773920,34.726893,900000058317,0,1
114,4,5号线,经开中心广场,1602 951,BV10705652,113.764169,34.720913,900000058317,0,1
115,4,5号线,福塔东,1545 1007,BV10705669,113.747025,34.720938,900000058317,0,1
116,4,5号线,中原福塔,1478 1008,BV10705666,113.732164,34.720931,900000058317,0,1
118,4,5号线,航海广场,1238 1008,BV10705667,113.706164,34.720913,900000058317,0,1
119,4,5号线,城东南路,1100 1008,BV10705668,113.690214,34.720838,900000058317,0,1
121,4,5号线,冯庄,896 1008,BV10705665,113.667892,34.720432,900000058317,0,1
122,4,5号线,京广南路,825 1008,BV10705648,113.656817,34.720213,900000058317,0,1
123,4,5号线,市第二人民医院,758 1008,BV10705664,113.644129,34.720446,900000058317,0,1
124,4,5号线,齐礼阎,685 1008,BV10705658,113.629657,34.720220,900000058317,0,1
125,4,5号线,后河芦,614 1008,BV10705659,113.619882,34.720531,900000058317,0,1
126,4,5号线,桐淮,529 947,BV10705661,113.613570,34.728640,900000058317,0,1
127,4,5号线,陇海西路,529 900,BV10705655,113.613569,34.736281,900000058317,0,1
128,4,5号线,市中心医院,529 850,BV10705646,113.613692,34.746931,900000058317,0,1
131,5,14号线,市委党校,170 867,BV10994050,113.540989,34.749006,900000104418,0,1
132,5,14号线,奥体中心,170 910,BV10994073,113.541138,34.738506,900000104418,0,1
134,6,城郊线,十八里河,972 1367,BV10729468,113.683715,34.647839,900000060882,0,1
135,6,城郊线,沙窝李,973 1469,BV10729469,113.681693,34.626843,900000060882,0,1
136,6,城郊线,双湖大道,975 1571,BV10729465,113.683002,34.611492,900000060882,0,1
137,6,城郊线,华南城西,1172 1679,BV10729462,113.725712,34.593943,900000060882,0,1
138,6,城郊线,华南城,1349 1678,BV10729467,113.748901,34.594077,900000060882,0,1
139,6,城郊线,孟庄,1645 1676,BV10729472,113.818308,34.585760,900000060882,0,1
140,6,城郊线,港区北,1759 1675,BV10729460,113.837925,34.584862,900000060882,0,1
141,6,城郊线,康平湖,1849 1675,BV10729461,113.853136,34.584793,900000060882,0,1
142,6,城郊线,兰河公园,1918 1745,BV10729463,113.859697,34.575860,900000060882,0,1
143,6,城郊线,恩平湖,1919 1809,BV10729473,113.859674,34.567421,900000060882,0,1
144,6,城郊线,综合保税区,1920 1877,BV10729471,113.857194,34.549358,900000060882,0,1
145,6,城郊线,新郑机场,2000 1928,BV10729470,113.852485,34.526082,900000060882,0,1
