,route_index,route_name,name,stop_id,stop_poi_id,lon,lat,route,trans,su
0,0,1号线,北环城路,988 199,BV10110771,125.324223,43.947848,220100020890|900000080340,1,1
1,0,1号线,庆丰路,988 311,BV10111709,125.324188,43.937160,220100020890,0,1
2,0,1号线,一匡街,988 416,BV10110884,125.324210,43.925303,220100020890,0,1
3,0,1号线,长春站北,988 520,BV10112363,125.324183,43.914054,220100020890|220100020886,1,1
4,0,1号线,长春站,989 569,BV10110231,125.322008,43.909300,220100020890,0,1
5,0,1号线,胜利公园,988 661,BV10711824,125.324329,43.899969,220100020890,0,1
6,0,1号线,人民广场,988 760,BV10110416,125.324652,43.888644,220100020890,0,1
7,0,1号线,解放大路,988 886,BV10110429,125.324882,43.878239,220100020890|900000049355,1,1
8,0,1号线,东北师大,988 1016,BV10912198,125.325186,43.864052,220100020890,0,1
9,0,1号线,工农广场,988 1144,BV10110862,125.325463,43.850834,220100020890,0,1
10,0,1号线,繁荣路,987 1251,BV10110449,125.325708,43.841070,220100020890,0,1
11,0,1号线,卫星广场,987 1357,BV10110670,125.325828,43.832692,220100020890|220100030615,1,1
12,0,1号线,市政府,987 1487,BV10110408,125.325954,43.818790,220100020890,0,1
13,0,1号线,华庆路,987 1650,BV10112371,125.327083,43.800122,220100020890,0,1
14,0,1号线,红嘴子,987 1756,BV10111436,125.327441,43.790474,220100020890,0,1
15,1,2号线,双丰,0 922,BV10621970,125.185602,43.867421,900000049355,0,1
16,1,2号线,长春西站,75 886,BV10621976,125.201137,43.876570,900000049355,0,1
17,1,2号线,兴隆堡,204 829,BV10621983,125.224131,43.883822,900000049355,0,1
18,1,2号线,西环城路,319 829,BV10621978,125.240387,43.884055,900000049355,0,1
19,1,2号线,和平大街,426 828,BV10621984,125.254528,43.884187,900000049355,0,1
20,1,2号线,万福街,529 828,BV10977953,125.265774,43.884307,900000049355,0,1
21,1,2号线,景阳广场,611 849,BV10621974,125.276182,43.882633,900000049355,0,1
22,1,2号线,解放桥,680 886,BV10112372,125.287330,43.876606,900000049355,0,1
23,1,2号线,建设广场,759 886,BV10621985,125.297361,43.877855,900000049355,0,1
24,1,2号线,文化广场,868 886,BV10621972,125.306497,43.877930,900000049355,0,1
26,1,2号线,平阳街,1044 886,BV10621969,125.333755,43.878343,900000049355,0,1
27,1,2号线,南关,1176 857,BV10621977,125.345395,43.880757,900000049355,0,1
28,1,2号线,吉林大路,1314 844,BV10110117,125.364291,43.881324,900000049355|220100020886,1,1
29,1,2号线,东盛大街,1426 844,BV10621971,125.376719,43.882324,900000049355,0,1
30,1,2号线,东环城路,1578 844,BV10621982,125.394422,43.882469,900000049355,0,1
31,1,2号线,长青,1730 844,BV10621973,125.409919,43.882369,900000049355,0,1
32,1,2号线,东方广场,1883 844,BV10621979,125.425773,43.881860,900000049355,0,1
34,2,3号线,辽宁路,918 574,BV10110967,125.314756,43.909214,220100030615,0,0
35,2,3号线,西安桥,810 715,BV10110913,125.300408,43.895069,220100030615,0,0
36,2,3号线,南昌路,769 769,BV10110062,125.297275,43.890639,220100030615,0,0
37,2,3号线,朝阳桥,729 822,BV10110064,125.292945,43.884733,220100030615,0,0
39,2,3号线,湖西桥,633 948,BV10112373,125.282278,43.869490,220100030615,0,0
40,2,3号线,宽平桥,583 1014,BV10112374,125.274103,43.862603,220100030615,0,1
41,2,3号线,抚松路,533 1080,BV10110243,125.268338,43.857929,220100030615,0,1
42,2,3号线,孟家屯,495 1152,BV10420614,125.261858,43.851164,220100030615,0,1
43,2,3号线,湖光路,545 1237,BV10110384,125.266565,43.844416,220100030615,0,1
44,2,3号线,电台街,652 1345,BV10111725,125.278424,43.833172,220100030615,0,1
45,2,3号线,前进西,737 1357,BV10112375,125.286928,43.832210,220100030615,0,1
46,2,3号线,前进大街,802 1357,BV10110291,125.293389,43.832251,220100030615,0,1
47,2,3号线,卫明街,866 1357,BV10110395,125.302816,43.832443,220100030615,0,1
48,2,3号线,卫光街,927 1357,BV10110399,125.315498,43.832610,220100030615,0,1
50,2,3号线,亚泰立交桥,1097 1357,BV10110307,125.339420,43.832594,220100030615,0,1
51,2,3号线,伊通河,1199 1357,BV10112376,125.350101,43.832951,220100030615,0,1
52,2,3号线,职业学院,1313 1357,BV10110125,125.366424,43.833026,220100030615|220100020886,1,1
53,2,3号线,吉林广电,1432 1357,BV10110316,125.379588,43.833290,220100030615,0,1
54,2,3号线,会展中心,1518 1357,BV10110321,125.390878,43.833404,220100030615,0,1
55,2,3号线,世纪广场,1606 1357,BV10110499,125.402731,43.836561,220100030615,0,1
56,2,3号线,金鑫街,1725 1366,BV10112377,125.421064,43.834456,220100030615,0,1
57,2,3号线,博硕路,1772 1428,BV10111728,125.429246,43.829773,220100030615,0,1
58,2,3号线,金河街,1836 1512,BV10112378,125.439225,43.821796,220100030615,0,1
59,2,3号线,农博园,1895 1589,BV10111321,125.444902,43.814396,220100030615,0,1
60,2,3号线,净月潭公园,1937 1661,BV10112379,125.450897,43.803659,220100030615,0,1
61,2,3号线,紫杉路,1896 1727,BV10111779,125.440356,43.792804,220100030615,0,0
62,2,3号线,宝相街,1853 1845,BV10112023,125.440254,43.785152,220100030615,0,0
63,2,3号线,滑雪场,1920 1947,BV10112380,125.449544,43.776619,220100030615,0,0
64,2,3号线,长影世纪城,1950 1991,BV11492772,125.450379,43.771809,220100030615,0,0
65,3,4号线,天工路,1313 1722,BV10112367,125.366364,43.795729,220100020886,0,1
66,3,4号线,宜盛街,1313 1627,BV10112366,125.365782,43.807269,220100020886,0,1
67,3,4号线,南环城路,1313 1537,BV10112365,125.365602,43.817469,220100020886,0,1
68,3,4号线,世荣路,1313 1445,BV10111471,125.365444,43.825280,220100020886,0,1
70,3,4号线,北海路,1314 1268,BV10110318,125.365017,43.841999,220100020886,0,1
71,3,4号线,威海路,1314 1181,BV10110514,125.364941,43.850712,220100020886,0,1
72,3,4号线,浦东路,1314 1092,BV10110339,125.364816,43.857058,220100020886,0,1
73,3,4号线,海口路,1314 1008,BV10110370,125.364668,43.863829,220100020886,0,1
74,3,4号线,公平路,1314 922,BV10110472,125.364467,43.872059,220100020886,0,1
76,3,4号线,东大桥,1272 651,BV10110457,125.357264,43.900059,220100020886,0,1
77,3,4号线,伪满皇宫,1198 590,BV11201452,125.352322,43.906536,220100020886,0,1
78,3,4号线,北亚泰大街,1111 523,BV10111238,125.337057,43.912412,220100020886,0,1
81,4,8号线,一二三中学,1050 163,BV10892257,125.330267,43.955517,900000080340,0,1
82,4,8号线,小南,1108 128,BV11059794,125.329990,43.965140,900000080340,0,1
83,4,8号线,小城子街,1169 93,BV10892258,125.331306,43.971009,900000080340,0,1
84,4,8号线,北湖大桥,1239 72,BV11059793,125.356066,43.976351,900000080340,0,1
85,4,8号线,北湖公园,1333 72,BV10892262,125.367816,43.976421,900000080340,0,1
86,4,8号线,和安街,1417 72,BV10892263,125.377457,43.976307,900000080340,0,1
87,4,8号线,光机路,1500 72,BV10892260,125.384605,43.985705,900000080340,0,1
88,4,8号线,大学城路,1592 72,BV10892264,125.384621,43.994818,900000080340,0,1
89,4,8号线,地理所,1675 72,BV10892256,125.397791,43.997949,900000080340,0,1
90,4,8号线,奥林匹克公园,1783 72,BV10892261,125.409669,44.000267,900000080340,0,1
91,4,8号线,广通路,1910 0,BV10892252,125.417761,44.008885,900000080340,0,1
