,route_index,route_name,name,stop_id,stop_poi_id,lon,lat,route,trans,su
0,0,1号线,开福区政府,778 204,BV10549940,112.985412,28.262049,4.301E+11,0,1
1,0,1号线,马厂,812 257,BV10452694,112.988706,28.251249,4.301E+11,0,1
2,0,1号线,北辰三角洲,814 319,BV10424906,112.983575,28.236228,4.301E+11,0,1
3,0,1号线,开福寺,814 381,BV10424912,112.979552,28.222438,4.301E+11,0,1
4,0,1号线,文昌阁,813 462,BV10452693,112.978199,28.212711,4.301E+11,0,1
5,0,1号线,培元桥,813 518,BV10452695,112.976453,28.206185,4.301E+11,0,1
6,0,1号线,五一广场,813 580,BV10231156,112.976433,28.195317,430100020925|430100020927,1,1
7,0,1号线,黄兴广场,813 649,BV10424916,112.976431,28.189421,4.301E+11,0,1
8,0,1号线,南门口,825 723,BV10424913,112.976195,28.183482,4.301E+11,0,1
9,0,1号线,侯家塘,862 788,BV10229926,112.982137,28.173771,430100020925|900000065929,1,1
10,0,1号线,南湖路,890 836,BV10231728,112.985594,28.166068,4.301E+11,0,1
11,0,1号线,黄土岭,903 888,BV10424908,112.985503,28.160534,430100020925|900000066167,1,1
12,0,1号线,涂家冲,903 950,BV10424907,112.984784,28.153165,4.301E+11,0,1
13,0,1号线,铁道学院,903 1002,BV10230150,112.987321,28.136157,4.301E+11,0,1
14,0,1号线,友谊路,903 1051,BV10231731,112.986898,28.123626,4.301E+11,0,1
15,0,1号线,省政府·清风,903 1105,BV10230284,112.987512,28.111178,4.301E+11,0,1
16,0,1号线,桂花坪,903 1155,BV10424911,112.988329,28.09923,4.301E+11,0,1
17,0,1号线,大托,903 1205,BV10424909,112.989189,28.082555,4.301E+11,0,1
18,0,1号线,中信广场,903 1259,BV10424914,112.989731,28.073694,4.301E+11,0,1
19,0,1号线,尚双塘,903 1336,BV10424915,112.992268,28.0619,4.301E+11,0,1
20,1,2号线,梅溪湖西,234 693,BV10613402,112.881887,28.185907,4.301E+11,0,1
21,1,2号线,麓云路,264 661,BV10613401,112.892059,28.19084,4.301E+11,0,1
22,1,2号线,文化艺术中心,295 631,BV10613404,112.900472,28.19669,4.301E+11,0,1
23,1,2号线,梅溪湖东,325 601,BV10613403,112.908183,28.201674,4.301E+11,0,1
24,1,2号线,望城坡(汽车西站),372 582,BV10230021,112.913704,28.207479,4.301E+11,0,1
25,1,2号线,金星路,453 580,BV10231736,112.928603,28.206047,4.301E+11,0,1
26,1,2号线,西湖公园,533 580,BV10231737,112.939929,28.202632,4.301E+11,0,1
27,1,2号线,溁湾镇,592 580,BV10230068,112.951436,28.197614,430100020927|900000066167,1,1
28,1,2号线,橘子洲,671 580,BV10231738,112.96252,28.195601,4.301E+11,0,1
29,1,2号线,湘江中路,742 580,BV10231739,112.969365,28.195218,4.301E+11,0,1
30,1,2号线,五一广场,813 580,BV10231156,112.976433,28.195317,430100020925|430100020927,1,1
31,1,2号线,芙蓉广场,849 580,BV10231017,112.984666,28.194886,4.301E+11,0,1
32,1,2号线,迎宾路口,904 580,BV10231740,112.992188,28.194793,4.301E+11,0,1
33,1,2号线,袁家岭,946 580,BV10229976,113.000651,28.194545,4.301E+11,0,1
34,1,2号线,长沙火车站,1013 580,BV10230535,113.010987,28.193633,430100020927|900000065929,1,1
35,1,2号线,锦泰广场,1079 580,BV10230115,113.017587,28.191855,4.301E+11,0,1
36,1,2号线,万家丽广场,1144 580,BV10230974,113.030191,28.191546,430100020927|900000066175,1,1
37,1,2号线,人民东路,1277 661,BV10231741,113.038701,28.184163,4.301E+11,0,1
38,1,2号线,长沙大道,1277 762,BV10231742,113.04448,28.168306,4.301E+11,0,1
39,1,2号线,沙湾公园,1277 888,BV10230090,113.044896,28.157673,430100020927|900000066167,1,1
40,1,2号线,杜花路,1302 1030,BV10231743,113.056471,28.146351,4.301E+11,0,1
41,1,2号线,长沙火车南站,1384 1030,BV10230231,113.065216,28.146879,430100020927|900000066167,1,1
42,1,2号线,光达,1467 1030,BV10494974,113.085035,28.148484,430100020927|900000066167,1,1
43,2,3号线,山塘,192 1416,BV10783867,112.925807,28.098771,9E+11,0,1
44,2,3号线,洋湖湿地,345 1313,BV10783871,112.938748,28.114688,9E+11,0,1
45,2,3号线,洋湖新城,432 1257,BV10783870,112.945435,28.128512,9E+11,0,1
