,route_index,route_name,name,stop_id,stop_poi_id,lon,lat,route,trans,su
0,0,1号线,东郭庄,1537 144,BV10843254,120.412004,36.334834,900000073473|900000073472,0,1
1,0,1号线,沟岔,1507 171,BV10843265,120.400078,36.327025,900000073473|900000073472,0,1
2,0,1号线,农业大学,1476 199,BV10843264,120.390904,36.315811,900000073473|900000073472,0,1
3,0,1号线,正阳中路,1443 233,BV10843267,120.390723,36.306004,900000073473|900000073472,0,1
4,0,1号线,小寨子,1443 270,BV10843271,120.390192,36.296519,900000073473|900000073472,0,1
5,0,1号线,凤岗路,1442 309,BV10843258,120.386132,36.285973,900000073473|900000073472,0,1
6,0,1号线,流亭,1442 348,BV10843263,120.388616,36.268301,900000073473|900000073472,0,1
7,0,1号线,仙家寨(汽车北站),1441 386,BV10843268,120.393189,36.240025,900000073473|900000073472,0,1
8,0,1号线,瑞金路,1441 420,BV10843256,120.395172,36.227434,900000073473|900000073472,0,1
9,0,1号线,遵义路,1441 452,BV10843262,120.397632,36.214618,900000073473|900000073472,0,1
10,0,1号线,南岭,1442 484,BV10843261,120.400139,36.201457,900000073473|900000073472,0,1
11,0,1号线,兴国路,1441 511,BV10829336,120.401527,36.191035,900000073473|900000073472,0,1
12,0,1号线,永年路,1357 516,BV11372767,120.396039,36.181643,900000073473|900000073472,0,1
13,0,1号线,沧安路,1301 516,BV11372766,120.382098,36.180128,900000073473|900000073472,0,1
14,0,1号线,青岛北站,1244 560,BV10425284,120.376795,36.169777,900000073473|900000073472|900000030289|900000154760|900000154759,1,1
15,1,2号线,李村公园,1482 537,BV10425294,120.425954,36.167794,900000030291,0,1
16,1,2号线,李村,1446 593,BV10425279,120.424747,36.159067,900000030291|900000030289,1,1
17,1,2号线,枣山路,1460 620,BV10425276,120.433459,36.153862,900000030291,0,1
18,1,2号线,华楼山路,1478 634,BV10604565,120.439516,36.149334,900000030291,0,1
19,1,2号线,东韩,1495 649,BV10425300,120.441927,36.128291,900000030291,0,1
20,1,2号线,辽阳东路,1512 663,BV10831106,120.450073,36.117388,900000030291,0,1
21,1,2号线,同安路,1529 678,BV10425291,120.455361,36.111315,900000030291,0,1
22,1,2号线,苗岭路,1547 692,BV10425293,120.464784,36.100457,900000030291|900000071655,1,1
23,1,2号线,石老人浴场,1550 715,BV10604561,120.464463,36.093228,900000030291,0,1
24,1,2号线,海安路,1539 743,BV10425304,120.450859,36.085683,900000030291,0,1
25,1,2号线,海川路,1528 771,BV10425286,120.443405,36.076445,900000030291,0,1
26,1,2号线,海游路,1516 800,BV10604564,120.434638,36.071724,900000030291,0,1
27,1,2号线,麦岛,1505 828,BV10425282,120.423198,36.066093,900000030291,0,1
28,1,2号线,高雄路,1472 848,BV10425288,120.410706,36.066133,900000030291,0,1
29,1,2号线,燕儿岛路,1404 848,BV10425285,120.401596,36.064963,900000030291,0,1
30,1,2号线,浮山所,1355 849,BV10604566,120.390666,36.065735,900000030291,0,1
31,1,2号线,五四广场,1295 846,BV10425290,120.380343,36.064750,900000030291|900000030289,1,1
32,1,2号线,芝泉路,1217 838,BV10425306,120.368590,36.069496,900000030291,0,1
33,1,2号线,台东,1181 810,BV10425305,120.354282,36.082090,900000030291,0,1
34,1,2号线,利津路,1139 785,BV11300103,120.346366,36.082639,900000030291,0,1
35,1,2号线,泰山路,1083 785,BV10425298,120.333341,36.084281,900000030291,0,1
36,2,3号线,青岛北站,1244 560,BV10425284,120.376795,36.169777,900000073473|900000073472|900000030289|900000154760|900000154759,1,1
37,2,3号线,永平路,1300 560,BV10425272,120.393108,36.172198,900000030289,0,1
38,2,3号线,振华路,1356 561,BV10563756,120.405921,36.169204,900000030289,0,1
39,2,3号线,君峰路,1412 561,BV10425278,120.414861,36.164622,900000030289,0,1
40,2,3号线,李村,1446 593,BV10425279,120.424747,36.159067,900000030291|900000030289,1,1
41,2,3号线,万年泉路,1438 629,BV10425283,120.427661,36.148605,900000030289,0,1
42,2,3号线,海尔路,1422 641,BV10593112,120.423208,36.137111,900000030289,0,1
43,2,3号线,地铁大厦,1406 653,BV10593113,120.414359,36.130893,900000030289,0,1
44,2,3号线,长沙路,1386 668,BV10593111,120.403261,36.120809,900000030289,0,1
45,2,3号线,双山,1367 683,BV10425292,120.397406,36.114280,900000030289,0,1
46,2,3号线,清江路,1352 695,BV10832399,120.387296,36.106869,900000030289,0,1
47,2,3号线,错埠岭,1352 718,BV10606456,120.385384,36.096070,900000030289,0,1
48,2,3号线,敦化路,1351 744,BV10832401,120.385321,36.088765,900000030289,0,1
49,2,3号线,宁夏路,1351 777,BV10832404,120.385691,36.081741,900000030289,0,1
50,2,3号线,江西路,1351 802,BV10832400,120.388271,36.073635,900000030289,0,1
51,2,3号线,五四广场,1295 846,BV10425290,120.380343,36.064750,900000030291|900000030289,1,1
52,2,3号线,延安三路,1237 859,BV10832406,120.373767,36.060740,900000030289,0,1
53,2,3号线,太平角公园,1180 859,BV10832402,120.359654,36.053773,900000030289,0,1
54,2,3号线,中山公园,1130 859,BV10832403,120.351805,36.058342,900000030289,0,1
55,2,3号线,汇泉广场,1079 859,BV10832405,120.343300,36.059678,900000030289,0,1
56,2,3号线,人民会堂,1030 859,BV10606457,120.329875,36.060331,900000030289,0,1
57,2,3号线,青岛站,981 859,BV10606461,120.315097,36.063675,900000030289,0,1
58,3,8号线,胶州北站,655 93,BV11455386,120.054984,36.395171,900000154760|900000154759,0,1
59,3,8号线,胶东机场,656 140,BV11455395,120.096340,36.356934,900000154760|900000154759,0,0
60,3,8号线,胶东,656 214,BV11455388,120.117612,36.313674,900000154760|900000154759,0,1
61,3,8号线,大涧,719 265,BV11455390,120.161375,36.258791,900000154760|900000154759,0,1
62,3,8号线,红岛火车站,809 335,BV11455389,120.190749,36.248746,900000154760|900000154759,0,1
63,3,8号线,健康中心,809 415,BV11455393,120.199717,36.230920,900000154760|900000154759,0,1
64,3,8号线,健身中心(红岛会展),809 477,BV11455391,120.215413,36.233597,900000154760|900000154759,0,1
65,3,8号线,观涛,892 511,BV11455387,120.244075,36.208281,900000154760|900000154759,0,1
66,3,8号线,红岛科技馆(方特),941 527,BV11455394,120.272952,36.200805,900000154760|900000154759,0,1
67,3,8号线,大洋,993 543,BV11455392,120.290730,36.193056,900000154760|900000154759,0,1
68,3,8号线,青岛北站,1244 560,BV10425284,120.376795,36.169777,900000073473|900000073472|900000030289|900000154760|900000154759,1,1
69,4,11号线,苗岭路,1547 692,BV10425293,120.464784,36.100457,900000030291|900000071655,1,1
70,4,11号线,会展中心,1574 692,BV10827808,120.474085,36.102954,900000071655,0,1
71,4,11号线,青岛二中,1604 672,BV10827804,120.480684,36.110488,900000071655,0,1
72,4,11号线,青岛科大,1623 648,BV10827818,120.485288,36.124174,900000071655,0,1
73,4,11号线,张村,1641 623,BV10827819,120.485492,36.141194,900000071655,0,1
74,4,11号线,枯桃,1660 599,BV10827816,120.487154,36.148082,900000071655,0,1
75,4,11号线,海洋大学,1679 575,BV10827811,120.494775,36.165108,900000071655,0,1
76,4,11号线,世博园,1698 551,BV10827800,120.511371,36.185499,900000071655,0,1
77,4,11号线,北宅,1717 526,BV10827801,120.534690,36.213787,900000071655,0,1
78,4,11号线,北九水,1735 502,BV10827806,120.558835,36.238526,900000071655,0,1
79,4,11号线,庙石,1753 479,BV10827810,120.606377,36.284339,900000071655,0,1
80,4,11号线,浦里,1772 454,BV10827807,120.628101,36.306308,900000071655,0,1
